"","RET"
"1990-01-01",3.940600558
"1990-02-01",0.524261364399999
"1990-03-01",0.981072108299999
"1990-04-01",-5.1061892632
"1990-05-01",3.792182974
"1990-06-01",2.4793981878
"1990-07-01",3.1708991543
"1990-08-01",-9.4561073481
"1990-09-01",-29.8099823366
"1990-10-01",-31.6649839347
"1990-11-01",-27.4425296178
"1990-12-01",-22.1463856156
"1991-01-01",-18.7402886408
"1991-02-01",-5.7997421745
"1991-03-01",-7.8602562008
"1991-04-01",-10.3274354075
"1991-05-01",-15.8080129086
"1991-06-01",-23.8869178563
"1991-07-01",-20.3041479963
"1991-08-01",-4.1366414472
"1991-09-01",-6.844460227
"1991-10-01",-7.1987727507
"1991-11-01",-18.0750770367
"1991-12-01",-13.1730298518
"1992-01-01",8.3479189458
"1992-02-01",13.5171954204
"1992-03-01",7.7990215954
"1992-04-01",0.490912374999998
"1992-05-01",22.8791286006
"1992-06-01",7.7577888406
"1992-07-01",-8.207345281
"1992-08-01",-10.7799810282
"1992-09-01",-21.3922740298
"1992-10-01",-34.6964757018
"1992-11-01",-38.338062513
"1992-12-01",-38.304962513
"1993-01-01",-21.8517121066
"1993-02-01",-19.9180243034
"1993-03-01",-4.0102310634
"1993-04-01",4.8479000726
"1993-05-01",14.9143401046
"1993-06-01",30.5878530774
"1993-07-01",38.0464527606
"1993-08-01",74.4541915026
"1993-09-01",103.0448956001
"1993-10-01",102.0881124372
"1993-11-01",107.5207624439
"1993-12-01",118.9262521988
"1994-01-01",131.6326324456
"1994-02-01",145.2471822885
"1994-03-01",131.1066080377
"1994-04-01",129.2728718591
"1994-05-01",120.6573692448
"1994-06-01",121.1335804705
"1994-07-01",116.3867482705
"1994-08-01",124.2580135938
"1994-09-01",133.9424902733
"1994-10-01",135.1910154285
"1994-11-01",136.5738299509
"1994-12-01",144.737047152
"1995-01-01",143.7870528885
"1995-02-01",154.0466560968
"1995-03-01",159.770124627
"1995-04-01",161.0383498573
"1995-05-01",163.1424743694
"1995-06-01",166.5140529119
"1995-07-01",165.9122163583
"1995-08-01",176.6110359804
"1995-09-01",180.5588161559
"1995-10-01",199.1723542331
"1995-11-01",196.0170285312
"1995-12-01",198.2686984932
"1996-01-01",198.8423827852
"1996-02-01",203.8427637331
"1996-03-01",210.1615665487
"1996-04-01",215.0857608213
"1996-05-01",224.1902009277
"1996-06-01",227.9668044561
"1996-07-01",224.6674990956
"1996-08-01",230.8627501842
"1996-09-01",233.889375065
"1996-10-01",233.4344287283
"1996-11-01",239.6190395177
"1996-12-01",248.8014763156
"1997-01-01",239.5276858853
"1997-02-01",246.2260973434
"1997-03-01",246.2014629366
"1997-04-01",240.4120526833
"1997-05-01",249.0726028601
"1997-06-01",246.9414101224
"1997-07-01",243.5099495124
"1997-08-01",248.680932452
"1997-09-01",250.8343038479
"1997-10-01",260.6334977718
"1997-11-01",263.5262464037
"1997-12-01",259.7822043055
"1998-01-01",269.0999079815
