"","RET"
"1983-12-01",24.7699777896
"1984-01-01",29.8688773513
"1984-02-01",37.6883072683
"1984-03-01",58.2601040312
"1984-04-01",56.2915628399
"1984-05-01",41.893976563
"1984-06-01",57.3428768891
"1984-07-01",51.4501120005
"1984-08-01",60.5626462864
"1984-09-01",77.1792462449
"1984-10-01",82.718009759
"1984-11-01",85.2752831164
"1984-12-01",101.8926880626
"1985-01-01",106.9184593008
"1985-02-01",108.6563932901
"1985-03-01",139.0755987632
"1985-04-01",144.4552814772
"1985-05-01",158.3818103856
"1985-06-01",165.9217679433
"1985-07-01",169.2391053526
"1985-08-01",178.1605348562
"1985-09-01",194.713047662
"1985-10-01",203.8954566931
"1985-11-01",214.2027241373
"1985-12-01",225.1906127111
"1986-01-01",234.6121730225
"1986-02-01",244.0004784048
"1986-03-01",279.2605245552
"1986-04-01",298.6433622937
"1986-05-01",299.0234767527
"1986-06-01",331.3103379317
"1986-07-01",323.7525500323
"1986-08-01",326.7857098545
"1986-09-01",341.3072418894
"1986-10-01",338.9555201556
"1986-11-01",345.8033026469
"1986-12-01",367.5787610421
"1987-01-01",383.8617497693
"1987-02-01",394.8270056909
"1987-03-01",430.5513380863
"1987-04-01",429.7040337941
"1987-05-01",430.2812011295
"1987-06-01",472.933246788
"1987-07-01",470.8821677384
"1987-08-01",468.6626921045
"1987-09-01",490.5317886432
"1987-10-01",469.4453567411
"1987-11-01",466.5646316361
"1987-12-01",500.1592677663
"1988-01-01",492.003865368
"1988-02-01",490.6825679023
"1988-03-01",511.2786058134
"1988-04-01",531.5536213392
"1988-05-01",536.8452654259
"1988-06-01",555.0438635992
"1988-07-01",558.599137886
"1988-08-01",542.828266179
"1988-09-01",577.4904214032
"1988-10-01",573.1297579927
"1988-11-01",568.5540235376
"1988-12-01",577.6834447963
"1989-01-01",588.8344424772
"1989-02-01",593.6766110064
"1989-03-01",608.7408438755
"1989-04-01",608.0651134583
"1989-05-01",598.3174980449
"1989-06-01",618.9697155466
"1989-07-01",641.6674972349
"1989-08-01",639.6498314351
"1989-09-01",643.3695815053
"1989-10-01",636.7660759045
"1989-11-01",647.3386255433
"1989-12-01",671.8740757821
"1990-01-01",678.2174966229
"1990-02-01",671.0051880401
"1990-03-01",684.188604047
"1990-04-01",679.3834854928
"1990-05-01",687.6869453717
"1990-06-01",704.0516184801
"1990-07-01",704.3283263991
"1990-08-01",698.1895771388
"1990-09-01",698.7113151055
"1990-10-01",700.8078479632
"1990-11-01",696.354373213
"1990-12-01",713.0197033364
"1991-01-01",708.1191163664
"1991-02-01",709.3832431031
"1991-03-01",700.4797887171
"1991-04-01",690.3144911284
"1991-05-01",689.3102331522
"1991-06-01",696.8665197452
"1991-07-01",705.8715693778
"1991-08-01",723.9401709056
"1991-09-01",751.7549464078
"1991-10-01",759.987212014
"1991-11-01",758.4817810865
"1991-12-01",777.0039961211
"1992-01-01",774.4339518767
"1992-02-01",773.9767812753
"1992-03-01",768.1900811523
"1992-04-01",778.7807994938
"1992-05-01",784.89355143
"1992-06-01",795.0808539172
"1992-07-01",785.630189689
"1992-08-01",785.5934797209
"1992-09-01",776.4072466837
"1992-10-01",764.9198064039
"1992-11-01",761.2717232424
"1992-12-01",765.0560194686
"1993-01-01",769.5728068122
"1993-02-01",762.2834710646
"1993-03-01",793.7466440445
"1993-04-01",806.1485337938
"1993-05-01",806.5941227874
"1993-06-01",824.144280675
"1993-07-01",827.3382566567
"1993-08-01",834.291559451
"1993-09-01",846.9586809861
"1993-10-01",845.2678874301
"1993-11-01",841.1645960337
"1993-12-01",868.359452743
"1994-01-01",869.9997322357
"1994-02-01",871.9897860887
"1994-03-01",876.3512237402
"1994-04-01",875.3206176853
"1994-05-01",877.6217734998
"1994-06-01",876.1099205939
"1994-07-01",885.6102681846
"1994-08-01",889.2635334973
"1994-09-01",899.1804630466
"1994-10-01",902.5024609257
"1994-11-01",895.799507659
"1994-12-01",925.5596803451
"1995-01-01",926.7176581211
"1995-02-01",926.2610751422
"1995-03-01",947.8870562141
"1995-04-01",948.561716429
"1995-05-01",947.6338650363
"1995-06-01",961.4588528365
"1995-07-01",967.1614927705
"1995-08-01",966.6506376437
"1995-09-01",989.2788624566
"1995-10-01",988.3552177964
"1995-11-01",990.8774032062
"1995-12-01",1018.3349260938
"1996-01-01",1026.1953611194
"1996-02-01",1031.9635542228
"1996-03-01",1054.8690866985
"1996-04-01",1058.0826406246
"1996-05-01",1066.4919173015
"1996-06-01",1085.7228156919
"1996-07-01",1081.5251709026
"1996-08-01",1082.8796154999
"1996-09-01",1099.2558332012
"1996-10-01",1107.5452348118
"1996-11-01",1113.5327679346
"1996-12-01",1140.4661072628
"1997-01-01",1147.3723097344
"1997-02-01",1149.5698713114
"1997-03-01",1171.5748033931
"1997-04-01",1163.4139496269
"1997-05-01",1163.3210836996
"1997-06-01",1186.1377949516
"1997-07-01",1184.1815853183
"1997-08-01",1189.8823146558
"1997-09-01",1211.1920511298
"1997-10-01",1213.6649107471
"1997-11-01",1219.7352126632
"1997-12-01",1240.7794763457
"1998-01-01",1240.9799174825
"1998-02-01",1244.1543827439
"1998-03-01",1278.6261042394
"1998-04-01",1281.7513496334
"1998-05-01",1285.3994563738
"1998-06-01",1315.1244325389
"1998-07-01",1311.673162937
"1998-08-01",1299.0715311482
"1998-09-01",1328.3759702025
"1998-10-01",1324.0768996676
"1998-11-01",1332.6041993943
"1998-12-01",1353.8027987023
"1999-01-01",1357.3898850993
"1999-02-01",1355.478022838
"1999-03-01",1362.7589156623
"1999-04-01",1356.7216821342
"1999-05-01",1353.4044953436
"1999-06-01",1378.1672189735
"1999-07-01",1387.0918521889
"1999-08-01",1385.7646569918
"1999-09-01",1403.3263979445
"1999-10-01",1405.680049202
"1999-11-01",1412.3527377032
"1999-12-01",1480.40548212
"2000-01-01",1489.9893225662
"2000-02-01",1498.0725743213
"2000-03-01",1527.4977307639
"2000-04-01",1514.4938315259
"2000-05-01",1503.9886380305
"2000-06-01",1541.5312369073
"2000-07-01",1546.4923227172
"2000-08-01",1549.0465180689
"2000-09-01",1576.8055548189
"2000-10-01",1573.26096216
"2000-11-01",1562.057612023
"2000-12-01",1597.3208388003
"2001-01-01",1594.0100542415
"2001-02-01",1584.2532486396
"2001-03-01",1592.1073195806
"2001-04-01",1597.7510648271
"2001-05-01",1603.4990764894
"2001-06-01",1624.3706814419
"2001-07-01",1617.7919997475
"2001-08-01",1620.4343497254
"2001-09-01",1619.9517874726
"2001-10-01",1623.285286207
"2001-11-01",1619.650411515
"2001-12-01",1646.0896049833
"2002-01-01",1644.4543841437
"2002-02-01",1643.2258992276
"2002-03-01",1667.1521922392
"2002-04-01",1671.8133887615
"2002-05-01",1679.793658278
"2002-06-01",1687.1403672434
"2002-07-01",1687.689659994
"2002-08-01",1686.7686151452
"2002-09-01",1697.2807744308
"2002-10-01",1694.4692133261
"2002-11-01",1700.4444801307
"2002-12-01",1729.2096958659
"2003-01-01",1724.776788962
"2003-02-01",1723.2757717946
"2003-03-01",1716.7049823122
"2003-04-01",1722.2083289489
"2003-05-01",1734.6529865131
"2003-06-01",1753.6039328277
"2003-07-01",1755.9910785955
"2003-08-01",1764.5092302841
"2003-09-01",1786.7904333009
"2003-10-01",1792.0009965536
"2003-11-01",1787.5195569597
"2003-12-01",1804.8056487472
"2004-01-01",1804.9680954798
"2004-02-01",1811.8228500981
"2004-03-01",1828.9196246792
"2004-04-01",1826.6730623379
"2004-05-01",1829.9097210822
"2004-06-01",1857.3256362657
"2004-07-01",1855.4715713707
"2004-08-01",1857.6229340554
"2004-09-01",1874.2110195562
"2004-10-01",1879.4937182713
"2004-11-01",1885.0517866738
"2004-12-01",1905.2008509235
"2005-01-01",1902.4732165343
"2005-02-01",1904.2737720885
"2005-03-01",1916.2153646617
"2005-04-01",1909.6822399329
"2005-05-01",1903.7542415005
"2005-06-01",1921.9840300882
"2005-07-01",1931.7026952576
"2005-08-01",1950.3536750221
"2005-09-01",1966.1002093248
"2005-10-01",1961.8665185672
"2005-11-01",1970.1677480338
"2005-12-01",1986.7952460872
"2006-01-01",2006.378910587
"2006-02-01",2008.4285096509
"2006-03-01",2030.8850031658
"2006-04-01",2038.328140702
"2006-05-01",2039.1244802424
"2006-06-01",2054.7473001433
"2006-07-01",2057.5372396776
"2006-08-01",2059.2558221402
"2006-09-01",2075.2431669924
"2006-10-01",2079.5636561273
"2006-11-01",2085.4201915003
"2006-12-01",2105.9486117753
"2007-01-01",2108.0847190838
"2007-02-01",2113.4434814487
"2007-03-01",2137.1214292565
"2007-04-01",2148.2207551255
"2007-05-01",2150.3823768961
"2007-06-01",2167.0832275371
"2007-07-01",2168.0303070152
"2007-08-01",2170.3232674789
