"","RET"
"1990-01-01",5.5735121296
"1990-02-01",9.1903944276
"1990-03-01",3.1648265961
"1990-04-01",2.1398822461
"1990-05-01",3.9993961333
"1990-06-01",5.4030815978
"1990-07-01",10.2968084009
"1990-08-01",6.3205998892
"1990-09-01",4.7753855142
"1990-10-01",6.6361364358
"1990-11-01",11.6873013434
"1990-12-01",17.8375584572
"1991-01-01",13.5187596678
"1991-02-01",14.7841833328
"1991-03-01",7.9664056169
"1991-04-01",10.1570672825
"1991-05-01",6.3189944735
"1991-06-01",1.8545319391
"1991-07-01",6.9735728951
"1991-08-01",22.4922007591
"1991-09-01",34.3922516405
"1991-10-01",39.7910296903
"1991-11-01",37.6602847043
"1991-12-01",43.3322510315
"1992-01-01",42.5072403259
"1992-02-01",44.6070276871
"1992-03-01",36.8026804175
"1992-04-01",47.4365269151
"1992-05-01",55.4083065497
"1992-06-01",52.6541734861
"1992-07-01",40.7188077965
"1992-08-01",38.9660088509
"1992-09-01",35.5875627764
"1992-10-01",29.7600153547
"1992-11-01",30.4002048004
"1992-12-01",35.793153261
"1993-01-01",34.2467756118
"1993-02-01",19.4777081296
"1993-03-01",45.762564542
"1993-04-01",63.3832093129
"1993-05-01",81.0638747049
"1993-06-01",80.6647983454
"1993-07-01",84.8799220564
"1993-08-01",108.2851401849
"1993-09-01",109.8862301495
"1993-10-01",112.4536372465
"1993-11-01",115.1434322417
"1993-12-01",130.2571869849
"1994-01-01",135.5124438778
"1994-02-01",139.7692387232
"1994-03-01",132.65264713
"1994-04-01",140.2206191559
"1994-05-01",142.3576539775
"1994-06-01",148.9554078114
"1994-07-01",145.964373297
"1994-08-01",145.1981401847
"1994-09-01",145.1447540293
"1994-10-01",147.9568195815
"1994-11-01",148.4660139016
"1994-12-01",146.5935094513
"1995-01-01",146.7951009489
"1995-02-01",143.0246504635
"1995-03-01",153.1558822139
"1995-04-01",158.4393476775
"1995-05-01",162.4050905689
"1995-06-01",168.3822499629
"1995-07-01",176.5979471497
"1995-08-01",178.4133544845
"1995-09-01",179.3679686575
"1995-10-01",185.5836533114
"1995-11-01",184.8972351294
"1995-12-01",182.778845303
"1996-01-01",181.7777035848
"1996-02-01",184.9932657081
"1996-03-01",185.0555897732
"1996-04-01",185.5409396296
"1996-05-01",192.4027231003
"1996-06-01",195.4031831498
"1996-07-01",195.0410992855
"1996-08-01",198.2696690135
"1996-09-01",199.015981201
"1996-10-01",204.7508146664
"1996-11-01",216.1748612346
"1996-12-01",233.6674466594
"1997-01-01",232.0892420701
"1997-02-01",232.6852367765
"1997-03-01",236.5208541473
"1997-04-01",235.4153602589
"1997-05-01",242.0292090769
"1997-06-01",238.6394820746
"1997-07-01",236.095906672
"1997-08-01",232.4702733858
"1997-09-01",243.6598333176
"1997-10-01",231.4037116617
"1997-11-01",234.6138249935
"1997-12-01",248.2322941268
"1998-01-01",250.2723775244
"1998-02-01",251.5147690606
"1998-03-01",265.9874294656
"1998-04-01",267.7822942359
"1998-05-01",276.7181429863
"1998-06-01",272.9383868887
"1998-07-01",266.0013783607
"1998-08-01",260.9419633827
"1998-09-01",256.7362046963
"1998-10-01",254.1953564697
"1998-11-01",260.1745739054
"1998-12-01",257.3316333823
"1999-01-01",253.718400047
"1999-02-01",252.5033053341
"1999-03-01",260.4264942162
"1999-04-01",267.6667731031
"1999-05-01",260.9326208295
"1999-06-01",277.342463151
"1999-07-01",292.9358073932
"1999-08-01",304.4137205294
"1999-09-01",307.5357842916
"1999-10-01",312.5179808293
"1999-11-01",332.9600512519
"1999-12-01",360.3582977519
"2000-01-01",370.9265892721
"2000-02-01",408.8227160926
"2000-03-01",388.2690486375
"2000-04-01",357.161844298
