"","RET"
"1983-12-01",9.6359969175
"1984-01-01",13.3809948908
"1984-02-01",18.7171200275
"1984-03-01",23.7156730313
"1984-04-01",18.4052891858
"1984-05-01",7.0873926887
"1984-06-01",6.8879043765
"1984-07-01",1.6865332676
"1984-08-01",6.221310486
"1984-09-01",1.5122376162
"1984-10-01",4.2746191746
"1984-11-01",7.3658199356
"1984-12-01",19.9728602214
"1985-01-01",29.0944784556
"1985-02-01",22.2736325698
"1985-03-01",49.562255583
"1985-04-01",51.6203730971
"1985-05-01",64.0781736752
"1985-06-01",68.3658384346
"1985-07-01",67.1962494382
"1985-08-01",79.891207422
"1985-09-01",82.5542094292
"1985-10-01",87.3611433814
"1985-11-01",91.4409698383
"1985-12-01",88.7580732009
"1986-01-01",87.0973091312
"1986-02-01",95.2694137143
"1986-03-01",127.7474944564
"1986-04-01",147.531527263
"1986-05-01",147.3250954982
"1986-06-01",171.0662226587
"1986-07-01",164.932652267
"1986-08-01",167.3822638829
"1986-09-01",161.9996286525
"1986-10-01",160.5203466548
"1986-11-01",165.2361097929
"1986-12-01",180.2878295941
"1987-01-01",198.0093785331
"1987-02-01",218.3323382352
"1987-03-01",233.3634068303
"1987-04-01",243.1869692916
"1987-05-01",252.2749401073
"1987-06-01",280.9586519451
"1987-07-01",285.7330214384
"1987-08-01",285.21610563
"1987-09-01",297.9886420148
"1987-10-01",272.0683265296
"1987-11-01",264.4446608434
"1987-12-01",268.3839504927
"1988-01-01",266.7281747532
"1988-02-01",267.0219483533
"1988-03-01",278.5694477839
"1988-04-01",284.8959703184
"1988-05-01",287.0037607276
"1988-06-01",281.5276264547
"1988-07-01",284.3087551421
"1988-08-01",283.0994728357
"1988-09-01",285.949360866
"1988-10-01",305.3439352891
"1988-11-01",310.9406899939
"1988-12-01",311.9650682822
"1989-01-01",313.3276423809
"1989-02-01",319.119892423
"1989-03-01",323.5061175837
"1989-04-01",324.0775761537
"1989-05-01",317.8513651791
"1989-06-01",322.4812469413
"1989-07-01",330.1892839807
"1989-08-01",327.4336845965
"1989-09-01",327.5387505252
"1989-10-01",327.0331002758
"1989-11-01",319.8783750659
"1989-12-01",330.4198242348
"1990-01-01",338.804746615
"1990-02-01",336.7252930158
"1990-03-01",335.5508231198
"1990-04-01",330.1968828541
"1990-05-01",336.7312954482
"1990-06-01",345.8092307559
"1990-07-01",344.2235783146
"1990-08-01",330.8411884098
"1990-09-01",327.0679216184
"1990-10-01",332.552859378
"1990-11-01",333.9798856061
"1990-12-01",338.3132813054
"1991-01-01",344.1437535454
"1991-02-01",345.0133810666
"1991-03-01",343.2461827934
"1991-04-01",344.7446999114
"1991-05-01",346.4316288928
