"","RET"
"1990-01-01",9.9671668415
"1990-02-01",8.3450788706
"1990-03-01",6.3784025911
"1990-04-01",-0.4497996539
"1990-05-01",6.756331813
"1990-06-01",10.8435107614
"1990-07-01",11.1506533136
"1990-08-01",1.3471878657
"1990-09-01",-5.5488300938
"1990-10-01",-3.9287643587
"1990-11-01",-1.5822109708
"1990-12-01",2.8204173973
"1991-01-01",6.7633436977
"1991-02-01",8.6677014243
"1991-03-01",8.0051234619
"1991-04-01",9.3060576539
"1991-05-01",9.8383369995
"1991-06-01",4.5928630516
"1991-07-01",9.098635259
"1991-08-01",17.2741669315
"1991-09-01",23.1906563354
"1991-10-01",30.5241381473
"1991-11-01",42.6447724419
"1991-12-01",44.2543014326
"1992-01-01",43.1842377149
"1992-02-01",47.5190960268
"1992-03-01",41.0543664325
"1992-04-01",59.8399934355
"1992-05-01",70.5278373994
"1992-06-01",68.9404492408
"1992-07-01",65.0816710248
"1992-08-01",74.0999064964
"1992-09-01",65.154925003
"1992-10-01",58.2921898343
"1992-11-01",64.0320690787
"1992-12-01",75.6069484572
"1993-01-01",77.2926848609
"1993-02-01",71.2771300141
"1993-03-01",85.8599651408
"1993-04-01",100.1746226614
"1993-05-01",110.6540608829
"1993-06-01",106.9625395263
"1993-07-01",106.8706325499
"1993-08-01",121.4928565572
"1993-09-01",121.0711869336
"1993-10-01",127.0556788166
"1993-11-01",126.654120711
"1993-12-01",145.0069460509
"1994-01-01",161.660643493
"1994-02-01",159.1632826682
"1994-03-01",149.8739129531
"1994-04-01",149.9214673547
"1994-05-01",153.9923735066
"1994-06-01",154.0389405065
"1994-07-01",159.5342687268
"1994-08-01",162.0836828335
"1994-09-01",164.1990354688
"1994-10-01",164.7577861104
"1994-11-01",161.6312690166
"1994-12-01",163.1432918955
"1995-01-01",164.4501487204
"1995-02-01",162.835174668
"1995-03-01",167.2205157721
"1995-04-01",166.9776293404
"1995-05-01",168.8326600751
"1995-06-01",171.6883757069
"1995-07-01",177.3918595259
"1995-08-01",179.0700654841
"1995-09-01",182.2696696962
"1995-10-01",180.4239465504
"1995-11-01",178.0190399376
"1995-12-01",183.9009141653
"1996-01-01",182.9234383715
"1996-02-01",186.1587719207
"1996-03-01",187.6955087171
"1996-04-01",199.046149051
"1996-05-01",205.9043281163
"1996-06-01",204.0561172794
"1996-07-01",204.504045986
"1996-08-01",211.0475991423
"1996-09-01",212.9428558643
"1996-10-01",220.125305266
"1996-11-01",225.6808759027
"1996-12-01",229.2280818903
"1997-01-01",228.7817916647
"1997-02-01",235.0337424698
"1997-03-01",242.0825157793
"1997-04-01",236.2965293178
"1997-05-01",239.5837496818
"1997-06-01",239.9678120751
"1997-07-01",240.8978204312
"1997-08-01",238.003111828
"1997-09-01",249.9552392394
"1997-10-01",243.6916350437
"1997-11-01",245.7693605809
"1997-12-01",247.201711062
"1998-01-01",250.0534038514
"1998-02-01",256.1189740257
"1998-03-01",275.3707772513
"1998-04-01",285.0558802199
"1998-05-01",290.5338070051
"1998-06-01",287.145650043
"1998-07-01",289.7885218614
"1998-08-01",279.5548376104
"1998-09-01",272.4670015061
"1998-10-01",273.6715060124
"1998-11-01",279.2728940661
"1998-12-01",280.4159675448
"1999-01-01",286.5770948899
"1999-02-01",292.7721148202
"1999-03-01",293.8771316244
"1999-04-01",289.4685977431
"1999-05-01",291.9910608326
"1999-06-01",296.4508819326
"1999-07-01",304.3336628058
"1999-08-01",313.3639150243
"1999-09-01",316.2184892419
"1999-10-01",324.2557817199
"1999-11-01",340.5586388843
"1999-12-01",350.4194602593
"2000-01-01",356.9986379882
"2000-02-01",382.7010397589
"2000-03-01",358.8381129627
"2000-04-01",332.9288292165
"2000-05-01",312.7485859339
"2000-06-01",321.1471333541
"2000-07-01",320.9714003007
"2000-08-01",333.5798491226
"2000-09-01",346.6573885838
"2000-10-01",335.9435767269
"2000-11-01",318.5869945298
"2000-12-01",326.6501989368
"2001-01-01",325.3080251384
"2001-02-01",323.8203610951
"2001-03-01",311.7918707528
"2001-04-01",316.3205650544
"2001-05-01",322.5923011175
"2001-06-01",321.3549696816
"2001-07-01",317.4624636928
"2001-08-01",321.9603515491
"2001-09-01",313.9069064854
"2001-10-01",312.1044226005
"2001-11-01",317.7940024644
"2001-12-01",325.0541816804
"2002-01-01",323.0138465464
"2002-02-01",323.9205738656
"2002-03-01",329.2461484218
"2002-04-01",334.5561727675
"2002-05-01",337.9970625407
"2002-06-01",329.5525466685
"2002-07-01",324.9603045981
"2002-08-01",328.0407793678
"2002-09-01",321.4058190537
"2002-10-01",323.3706858493
"2002-11-01",321.4830146187
"2002-12-01",324.866103693
"2003-01-01",321.053115115
"2003-02-01",317.5228404188
"2003-03-01",317.6060467035
"2003-04-01",324.7351152275
"2003-05-01",334.5094641222
"2003-06-01",338.8319650078
"2003-07-01",342.6428172502
"2003-08-01",352.4499042876
"2003-09-01",355.621838385
"2003-10-01",360.2599695613
"2003-11-01",362.4771726167
"2003-12-01",370.9672582072
"2004-01-01",378.627731046
"2004-02-01",382.6762642638
"2004-03-01",380.0818196065
"2004-04-01",374.4165547786
"2004-05-01",375.6886415013
"2004-06-01",377.6287786743
"2004-07-01",374.5740403121
"2004-08-01",374.1651231289
"2004-09-01",374.9777118763
"2004-10-01",382.330081208
"2004-11-01",389.3518374132
"2004-12-01",394.5846491317
"2005-01-01",395.0063354488
"2005-02-01",398.8713030535
"2005-03-01",397.5486633549
"2005-04-01",399.5309455306
"2005-05-01",396.9274370739
"2005-06-01",403.4552927259
"2005-07-01",405.5341663019
"2005-08-01",416.6814949103
"2005-09-01",418.183896291
"2005-10-01",415.8230557781
"2005-11-01",418.9920975503
"2005-12-01",422.159301189
"2006-01-01",432.4985172426
"2006-02-01",434.4112146999
"2006-03-01",444.1648207205
"2006-04-01",456.1022484239
"2006-05-01",450.5246463535
"2006-06-01",447.7688117889
"2006-07-01",444.5916839994
"2006-08-01",450.3948815481
"2006-09-01",450.2593009105
"2006-10-01",454.05950716
"2006-11-01",460.8288384183
"2006-12-01",465.4644913066
"2007-01-01",473.4506138916
"2007-02-01",479.1222200478
"2007-03-01",482.4777889987
"2007-04-01",487.8543612757
"2007-05-01",495.9264595117
"2007-06-01",496.4064395941
"2007-07-01",492.9375744321
"2007-08-01",488.752800069
"2007-09-01",488.4863277458
"2007-10-01",495.8957359915
"2007-11-01",486.6340637268
"2007-12-01",485.9195237707
"2008-01-01",472.4772438221
"2008-02-01",477.7868567433
"2008-03-01",473.3643661958
"2008-04-01",475.8110201675
"2008-05-01",481.8318265295
"2008-06-01",483.7450070504
"2008-07-01",481.4504238707
"2008-08-01",475.3519233228
"2008-09-01",464.0816703262
"2008-10-01",441.2641183988
"2008-11-01",439.8708280153
"2008-12-01",431.879474863
"2009-01-01",440.2159647274
"2009-02-01",444.966809388
"2009-03-01",451.088626764
"2009-04-01",456.1802831547
"2009-05-01",469.0854649251
"2009-06-01",469.057804322
"2009-07-01",477.2761402142
"2009-08-01",479.1237472974
"2009-09-01",491.3793926814
"2009-10-01",499.399137722
"2009-11-01",499.063235772
"2009-12-01",501.945023322
"2010-01-01",513.797419422
"2010-02-01",504.6536644942
"2010-03-01",521.7198326454
"2010-04-01",517.3259254698
"2010-05-01",506.9689732783
"2010-06-01",518.5360392718
"2010-07-01",538.4531174777
"2010-08-01",545.2077709435
"2010-09-01",557.2150454765
"2010-10-01",553.3163302935
"2010-11-01",553.6515006193
"2010-12-01",562.6074080337
"2011-01-01",566.1273229521
"2011-02-01",572.978013321
"2011-03-01",570.1333027834
"2011-04-01",583.9179152385
"2011-05-01",580.2192249592
"2011-06-01",577.7736705888
"2011-07-01",578.8723410103
"2011-08-01",572.2507106509
"2011-09-01",561.1743789501
"2011-10-01",574.7194125209
"2011-11-01",575.5707805652
"2011-12-01",571.5928312066
"2012-01-01",575.3835308729
"2012-02-01",576.3412679976
"2012-03-01",572.5496701945
"2012-04-01",577.326687175
"2012-05-01",570.266378722
"2012-06-01",575.5174237232
"2012-07-01",572.9288577372
"2012-08-01",574.6231970429
"2012-09-01",574.9379535253
"2012-10-01",575.1276520852
"2012-11-01",572.1609265702
"2012-12-01",569.0631467786
"2013-01-01",571.6421011871
"2013-02-01",574.2625621067
"2013-03-01",578.8993808629
"2013-04-01",584.6107531281
"2013-05-01",587.4620534437
"2013-06-01",586.1833395001
"2013-07-01",594.7676158649
"2013-08-01",588.8990866588
"2013-09-01",595.2154238077
"2013-10-01",596.2120638973
"2013-11-01",601.3862519748
"2013-12-01",604.9614536284
"2014-01-01",612.9535785832
"2014-02-01",622.594016824
"2014-03-01",613.7389120716
"2014-04-01",607.6086021342
"2014-05-01",606.6466204466
"2014-06-01",606.4044958066
"2014-07-01",605.5377892681
"2014-08-01",604.1128003985
"2014-09-01",604.2087876265
"2014-10-01",601.9657209075
"2014-11-01",608.8518058099
"2014-12-01",605.5159622139
"2015-01-01",607.0118986532
"2015-02-01",615.7288354123
"2015-03-01",612.7604704916
"2015-04-01",617.5906224195
"2015-05-01",618.3197429835
"2015-06-01",618.5657184319
"2015-07-01",622.8131009702
"2015-08-01",617.6359469695
"2015-09-01",618.4494645073
"2015-10-01",622.6986102729
"2015-11-01",621.3386223479
"2015-12-01",626.3541899125
"2016-01-01",617.2604121371
"2016-02-01",610.8016030213
"2016-03-01",615.4874968574
"2016-04-01",614.9168465843
"2016-05-01",621.8832716792
"2016-06-01",607.7347753525
"2016-07-01",615.7591308227
"2016-08-01",615.6523232162
"2016-09-01",617.2496247463
"2016-10-01",612.0859846727
"2016-11-01",610.443204043
"2016-12-01",614.5144652078
"2017-01-01",623.1129556694
"2017-02-01",627.363260894
"2017-03-01",629.0771557737
"2017-04-01",642.7803872847
"2017-05-01",653.3327777239
"2017-06-01",653.7378221541
"2017-07-01",671.55328251
"2017-08-01",680.5719472718
"2017-09-01",686.7788998361
"2017-10-01",694.2381951718
"2017-11-01",693.6532439171
"2017-12-01",697.0596712777
"2018-01-01",694.689177523
"2018-02-01",691.6099753458
"2018-03-01",691.7832788838
"2018-04-01",693.1150558594
"2018-05-01",693.6672197362
"2018-06-01",696.9478000185
"2018-07-01",700.2330509475
"2018-08-01",699.8994133196
"2018-09-01",694.4595225171
"2018-10-01",685.4436978683
"2018-11-01",687.2015074467
"2018-12-01",685.7556525285
"2019-01-01",688.5943122237
"2019-02-01",690.2126898871
"2019-03-01",693.5476653563
"2019-04-01",695.366903532
"2019-05-01",696.8773253094
"2019-06-01",700.5060084409
"2019-07-01",686.524496034
"2019-08-01",689.3369810455
"2019-09-01",686.5193462596
"2019-10-01",695.7478282715
"2019-11-01",699.0832489028
"2019-12-01",710.557192914
"2020-01-01",708.5579299413
"2020-02-01",699.1125986173
"2020-03-01",685.2244137952
"2020-04-01",701.8454765306
"2020-05-01",712.4811181001
"2020-06-01",712.2730722908
"2020-07-01",731.2778711964
"2020-08-01",740.1368971124
"2020-09-01",738.8535886007
"2020-10-01",735.3229044055
"2020-11-01",757.0936268465
"2020-12-01",771.9198622252
"2021-01-01",779.6711962189
"2021-02-01",782.9093918653
"2021-03-01",776.1303150002
"2021-04-01",784.0920201244
"2021-05-01",782.3228243197
"2021-06-01",776.5067626613
"2021-07-01",777.5372746021
"2021-08-01",785.7016392346
"2021-09-01",781.3107481114
"2021-10-01",778.4417270862
"2021-11-01",765.6234022204
"2021-12-01",766.6281374191
