"","RET"
"1990-01-01",9.5039926317
"1990-02-01",4.2460869948
"1990-03-01",-0.9716611137
"1990-04-01",-2.3977656131
"1990-05-01",3.2383093632
"1990-06-01",9.4338559323
"1990-07-01",18.4823247681
"1990-08-01",-1.8003801848
"1990-09-01",-7.2553837104
"1990-10-01",-2.43551933
"1990-11-01",1.773292092
"1990-12-01",5.9057087649
"1991-01-01",3.8355304077
"1991-02-01",3.702985062
"1991-03-01",-1.9702862419
"1991-04-01",-0.731493414400003
"1991-05-01",-3.2267791376
"1991-06-01",-23.9912930952
"1991-07-01",-18.6295327024
"1991-08-01",-19.2807461886
"1991-09-01",-11.9363660569
"1991-10-01",-14.5467119123
"1991-11-01",-16.5660385462
"1991-12-01",-11.9423495064
"1992-01-01",-17.0790439196
"1992-02-01",-19.3535289581
"1992-03-01",-21.674532546
"1992-04-01",-15.8979128406
"1992-05-01",-5.0708232213
"1992-06-01",-6.4230129725
"1992-07-01",-11.937459102
"1992-08-01",-17.0172913562
"1992-09-01",-26.4207747389
"1992-10-01",-38.6983399447
"1992-11-01",-28.0971796296
"1992-12-01",-24.6237122036
"1993-01-01",-21.7279041555
"1993-02-01",-22.7124412478
"1993-03-01",-18.0456942829
"1993-04-01",-18.6246925141
"1993-05-01",-21.7069586865
"1993-06-01",-25.5943118749
"1993-07-01",-26.0421570624
"1993-08-01",-21.3152096183
"1993-09-01",-22.3551651575
"1993-10-01",-25.0323983721
"1993-11-01",-27.692792665
"1993-12-01",-16.516887016
"1994-01-01",7.70125102769999
"1994-02-01",11.271812983
"1994-03-01",8.37287257269999
"1994-04-01",0.929804119799994
"1994-05-01",0.545917978599994
"1994-06-01",-0.839791829400006
"1994-07-01",-12.3883306075
"1994-08-01",-2.63534866650001
"1994-09-01",6.18747836629999
"1994-10-01",7.59930166809999
"1994-11-01",9.41372597249999
"1994-12-01",17.4734806779
"1995-01-01",14.7126359276
"1995-02-01",12.296193759
"1995-03-01",16.2293788102
"1995-04-01",17.3350094196
"1995-05-01",15.5069635801
"1995-06-01",13.9249305536
"1995-07-01",24.4451192284
"1995-08-01",24.741185801
"1995-09-01",36.3778764342
"1995-10-01",32.025561491
"1995-11-01",29.9080978554
"1995-12-01",44.6456536652
"1996-01-01",47.2244704788
"1996-02-01",48.2102685513
"1996-03-01",43.9987544817
"1996-04-01",42.3592467975
"1996-05-01",49.8862905158
"1996-06-01",55.1089120995
"1996-07-01",47.0255425908
"1996-08-01",54.385017828
"1996-09-01",55.8992204329
"1996-10-01",64.0100689194
"1996-11-01",61.6828877128
"1996-12-01",62.2649795546
"1997-01-01",52.5148959372
"1997-02-01",59.9938475055
"1997-03-01",56.2673298783
"1997-04-01",56.6587016804
"1997-05-01",59.8143059047
"1997-06-01",60.0206704697
"1997-07-01",53.3033429823
"1997-08-01",53.0318073174
"1997-09-01",52.2472626283
"1997-10-01",53.0743100889
"1997-11-01",43.4124523538
"1997-12-01",39.0153190855
"1998-01-01",39.3627944072
"1998-02-01",13.5165486332
"1998-03-01",38.8694042699
"1998-04-01",54.4620478109
"1998-05-01",67.1215080096
"1998-06-01",70.491382619
"1998-07-01",64.5027450549
"1998-08-01",45.7871392821
"1998-09-01",45.3038736113
"1998-10-01",47.1390635678
"1998-11-01",44.8317301142
"1998-12-01",37.734895471
"1999-01-01",41.4261526357
"1999-02-01",46.4928496644
"1999-03-01",48.5669669005
