"","ym","RET"
"1",Nov 1986,11.6222437461
"2",Dec 1986,1.9285224035
"3",Jan 1987,12.9778246121
"4",Feb 1987,16.3642260224
"5",Mar 1987,14.1491821662
"6",Apr 1987,0.9198955762
"7",May 1987,8.1895788167
"8",Jun 1987,4.8122861649
"9",Jul 1987,33.2941516503
"10",Aug 1987,107.1860600926
"11",Sep 1987,16.1560464114
"12",Oct 1987,-22.7077440009
"13",Nov 1987,-4.9216465566
"14",Dec 1987,5.9724186864
"15",Jan 1988,0.2092206701
"16",Feb 1988,2.4734436856
"17",Mar 1988,6.502970059
"18",Apr 1988,0.2398605609
"19",May 1988,14.4418082612
"20",Jun 1988,5.0263278834
"21",Jul 1988,3.1145590032
"22",Aug 1988,1.004934662
"23",Sep 1988,2.8734193899
"24",Oct 1988,20.9564778955
"25",Nov 1988,4.3059097874
"26",Dec 1988,-6.3619989987
"27",Jan 1989,13.2253522173
"28",Feb 1989,6.2357605434
"29",Mar 1989,-1.8737354737
"30",Apr 1989,3.1969416508
"31",May 1989,-2.1603249941
"32",Jun 1989,4.6197645928
"33",Jul 1989,9.7735396754
"34",Aug 1989,9.4521002382
"35",Sep 1989,-3.4460297461
"36",Oct 1989,-6.5190996287
"37",Nov 1989,-0.1449452443
"38",Dec 1989,6.5962497685
"39",Jan 1990,9.5039926317
"40",Feb 1990,-5.2579056369
"41",Mar 1990,-5.2177481085
"42",Apr 1990,-1.4261044994
"43",May 1990,5.6360749763
"44",Jun 1990,6.1955465691
"45",Jul 1990,9.0484688358
"46",Aug 1990,-20.2827049529
"47",Sep 1990,-5.4550035256
"48",Oct 1990,4.8198643804
"49",Nov 1990,4.208811422
"50",Dec 1990,4.1324166729
"51",Jan 1991,-2.0701783572
"52",Feb 1991,-0.1325453457
"53",Mar 1991,-5.6732713039
"54",Apr 1991,1.2387928275
"55",May 1991,-2.4952857232
"56",Jun 1991,-20.7645139576
"57",Jul 1991,5.3617603928
"58",Aug 1991,-0.6512134862
"59",Sep 1991,7.3443801317
"60",Oct 1991,-2.6103458554
"61",Nov 1991,-2.0193266339
"62",Dec 1991,4.6236890398
"63",Jan 1992,-5.1366944132
"64",Feb 1992,-2.2744850385
"65",Mar 1992,-2.3210035879
"66",Apr 1992,5.7766197054
"67",May 1992,10.8270896193
"68",Jun 1992,-1.3521897512
"69",Jul 1992,-5.5144461295
"70",Aug 1992,-5.0798322542
"71",Sep 1992,-9.4034833827
"72",Oct 1992,-12.2775652058
"73",Nov 1992,10.6011603151
"74",Dec 1992,3.473467426
"75",Jan 1993,2.8958080481
"76",Feb 1993,-0.9845370923
"77",Mar 1993,4.6667469649
"78",Apr 1993,-0.5789982312
"79",May 1993,-3.0822661724
"80",Jun 1993,-3.8873531884
"81",Jul 1993,-0.4478451875
"82",Aug 1993,4.7269474441
"83",Sep 1993,-1.0399555392
"84",Oct 1993,-2.6772332146
"85",Nov 1993,-2.6603942929
"86",Dec 1993,11.175905649
"87",Jan 1994,24.2181380437
"88",Feb 1994,3.5705619553
"89",Mar 1994,-2.8989404103
"90",Apr 1994,-7.4430684529
"91",May 1994,-0.3838861412
"92",Jun 1994,-1.385709808
"93",Jul 1994,-11.5485387781
"94",Aug 1994,9.752981941
"95",Sep 1994,8.8228270328
"96",Oct 1994,1.4118233018
"97",Nov 1994,1.8144243044
"98",Dec 1994,8.0597547054
"99",Jan 1995,-2.7608447503
"100",Feb 1995,-2.4164421686
"101",Mar 1995,3.9331850512
"102",Apr 1995,1.1056306094
"103",May 1995,-1.8280458395
"104",Jun 1995,-1.5820330265
"105",Jul 1995,10.5201886748
"106",Aug 1995,0.2960665726
"107",Sep 1995,11.6366906332
"108",Oct 1995,-4.3523149432
"109",Nov 1995,-2.1174636356
"110",Dec 1995,14.7375558098
"111",Jan 1996,2.5788168136
"112",Feb 1996,0.985798072500001
"113",Mar 1996,-4.2115140696
"114",Apr 1996,-1.6395076842
"115",May 1996,7.5270437183
"116",Jun 1996,5.2226215837
"117",Jul 1996,-8.0833695087
"118",Aug 1996,7.3594752372
"119",Sep 1996,1.5142026049
"120",Oct 1996,8.1108484865
"121",Nov 1996,-2.3271812066
"122",Dec 1996,0.5820918418
"123",Jan 1997,-9.7500836174
"124",Feb 1997,7.4789515683
"125",Mar 1997,-3.7265176272
"126",Apr 1997,0.391371802100001
"127",May 1997,3.1556042243
"128",Jun 1997,0.206364565
"129",Jul 1997,-6.7173274874
"130",Aug 1997,-0.2715356649
"131",Sep 1997,-0.7845446891
"132",Oct 1997,0.8270474606
"133",Nov 1997,-9.6618577351
"134",Dec 1997,-4.3971332683
"135",Jan 1998,0.3474753217
"136",Feb 1998,-25.846245774
"137",Mar 1998,25.3528556367
"138",Apr 1998,15.592643541
"139",May 1998,12.6594601987
"140",Jun 1998,3.3698746094
"141",Jul 1998,-5.9886375641
"142",Aug 1998,-18.7156057728
"143",Sep 1998,-0.4832656708
"144",Oct 1998,1.8351899565
"145",Nov 1998,-2.3073334536
"146",Dec 1998,-7.0968346432
"147",Jan 1999,3.6912571647
"148",Feb 1999,5.0666970287
"149",Mar 1999,2.0741172361
"150",Apr 1999,13.9538749939
"151",May 1999,7.220562101
"152",Jun 1999,1.5650287764
"153",Jul 1999,3.5048170115
"154",Aug 1999,7.0475137174
"155",Sep 1999,-1.1191270959
"156",Oct 1999,2.3421407524
"157",Nov 1999,30.3743704305
"158",Dec 1999,13.087515545
"159",Jan 2000,6.8828735441
"160",Feb 2000,26.3139061952
"161",Mar 2000,-2.9929369029
"162",Apr 2000,-21.5595113588
"163",May 2000,2.8876173915
"164",Jun 2000,21.539105597
"165",Jul 2000,-3.3591436313
"166",Aug 2000,-2.7605451038
"167",Sep 2000,-0.7929519277
"168",Oct 2000,0.245221587499999
"169",Nov 2000,-2.8751136583
"170",Dec 2000,5.9892706541
"171",Jan 2001,-3.0333842624
"172",Feb 2001,-3.1593355444
"173",Mar 2001,-3.8801658884
"174",Apr 2001,14.8111807534
"175",May 2001,-0.4720537079
"176",Jun 2001,-15.4089871377
"177",Jul 2001,-11.683313458
"178",Aug 2001,-18.6825703661
"179",Sep 2001,-12.8575684868
"180",Oct 2001,6.2052243729
"181",Nov 2001,9.6102869737
"182",Dec 2001,11.4906938271
"183",Jan 2002,-4.6472860864
"184",Feb 2002,10.3132555197
"185",Mar 2002,5.4790084211
"186",Apr 2002,-7.2552435073
"187",May 2002,1.4937960763
"188",Jun 2002,-10.3803352161
"189",Jul 2002,-7.9300625776
"190",Aug 2002,3.6418918029
"191",Sep 2002,-9.9623489131
"192",Oct 2002,-0.1374092254
"193",Nov 2002,12.6721423221
"194",Dec 2002,-0.00281147450000005
"195",Jan 2003,-4.5871627546
"196",Feb 2003,-15.0291349238
"197",Mar 2003,-7.0796072856
"198",Apr 2003,15.9821480835
"199",May 2003,24.8753208852
"200",Jun 2003,3.914983832
"201",Jul 2003,2.9391052456
"202",Aug 2003,-0.589733012899999
"203",Sep 2003,14.540643662
"204",Oct 2003,16.3190344658
"205",Nov 2003,7.9182223541
"206",Dec 2003,14.6292350434
"207",Jan 2004,3.0123901609
"208",Feb 2004,4.8489214961
"209",Mar 2004,0.1040647619
"210",Apr 2004,-8.1329082476
"211",May 2004,-3.5422701792
"212",Jun 2004,10.4126948517
"213",Jul 2004,-0.840521940600001
"214",Aug 2004,-3.7946335484
"215",Sep 2004,-4.3317395686
"216",Oct 2004,4.3673302906
"217",Nov 2004,4.5330324747
"218",Dec 2004,6.4221202653
"219",Jan 2005,-1.8743864082
"220",Feb 2005,-1.1591050538
"221",Mar 2005,1.9567435061
"222",Apr 2005,-11.3554147003
"223",May 2005,-5.9090643064
"224",Jun 2005,2.3386601763
"225",Jul 2005,1.3297768003
"226",Aug 2005,17.8614442553
"227",Sep 2005,-2.6269528188
"228",Oct 2005,-1.1335007002
"229",Nov 2005,7.0283538986
"230",Dec 2005,3.6946708447
"231",Jan 2006,12.883526346
"232",Feb 2006,2.8778936276
