"","ym","RET"
"1",Jan 1990,9.4853721216
"2",Feb 1990,-0.797009504
"3",Mar 1990,-1.9288812806
"4",Apr 1990,-5.2782917697
"5",May 1990,6.9229225169
"6",Jun 1990,9.3848011536
"7",Jul 1990,2.7953059146
"8",Aug 1990,-16.8128591566
"9",Sep 1990,-4.5801331449
"10",Oct 1990,5.6084729193
"11",Nov 1990,-3.082186915
"12",Dec 1990,3.6905586749
"13",Jan 1991,5.6264972107
"14",Feb 1991,1.3576539686
"15",Mar 1991,-2.4158975082
"16",Apr 1991,3.5398610271
"17",May 1991,1.7468857254
"18",Jun 1991,-3.0819301279
"19",Jul 1991,5.0437574446
"20",Aug 1991,5.4252637625
"21",Sep 1991,6.5158820483
"22",Oct 1991,12.459821203
"23",Nov 1991,-4.4471937855
"24",Dec 1991,1.7992330965
"25",Jan 1992,-0.6815020991
"26",Feb 1992,2.0441402975
"27",Mar 1992,-6.2049206759
"28",Apr 1992,18.9610872411
"29",May 1992,11.2200141752
"30",Jun 1992,-1.6252807926
"31",Jul 1992,-3.7622469841
"32",Aug 1992,5.0154481473
"33",Sep 1992,-8.4176184707
"34",Oct 1992,-6.4446619634
"35",Nov 1992,0.6125582082
"36",Dec 1992,9.3927603558
"37",Jan 1993,1.5775777248
"38",Feb 1993,-5.0116086288
"39",Mar 1993,12.1460763477
"40",Apr 1993,12.6825556327
"41",May 1993,10.9341108005
"42",Jun 1993,-3.8695835603
"43",Jul 1993,0.7341269456
"44",Aug 1993,11.5337297817
"45",Sep 1993,1.4903697585
"46",Oct 1993,5.4049170818
"47",Nov 1993,0.9339369766
"48",Dec 1993,13.8307097668
"49",Jan 1994,19.0312546417
"50",Feb 1994,-6.9338824738
"51",Mar 1994,-9.3307295778
"52",Apr 1994,-0.4200622515
"53",May 1994,-1.5568446744
"54",Jun 1994,-1.7561704622
"55",Jul 1994,5.9757098226
"56",Aug 1994,5.586159683
"57",Sep 1994,0.6001554008
"58",Oct 1994,4.2691480239
"59",Nov 1994,-2.8663655004
"60",Dec 1994,-0.6011702029
"61",Jan 1995,6.8114896818
"62",Feb 1995,0.1025471153
"63",Mar 1995,2.548080643
"64",Apr 1995,0.4667290992
"65",May 1995,2.1893486969
"66",Jun 1995,1.8716736564
"67",Jul 1995,7.8369812359
"68",Aug 1995,5.7864353417
"69",Sep 1995,6.1574609336
"70",Oct 1995,-3.8611878861
"71",Nov 1995,-1.8622986453
"72",Dec 1995,2.3175922806
"73",Jan 1996,-1.8751035842
"74",Feb 1996,12.8883779758
"75",Mar 1996,-0.2270380409
"76",Apr 1996,8.9002814908
"77",May 1996,12.5522109928
"78",Jun 1996,-2.3267909072
"79",Jul 1996,4.866570508
"80",Aug 1996,7.2387403817
"81",Sep 1996,1.2974952406
"82",Oct 1996,8.1016600557
"83",Nov 1996,4.1971058243
"84",Dec 1996,5.0518880313
"85",Jan 1997,1.2869150935
"86",Feb 1997,6.1682423458
"87",Mar 1997,5.6964199748
"88",Apr 1997,-3.9042879968
"89",May 1997,0.746881562
"90",Jun 1997,-0.7010268722
"91",Jul 1997,0.8892486105
"92",Aug 1997,-4.0524016228
"93",Sep 1997,7.5228374264
"94",Oct 1997,6.6951099599
"95",Nov 1997,0.5529244777
"96",Dec 1997,5.4824815568
"97",Jan 1998,3.1183409562
"98",Feb 1998,4.5746789758
"99",Mar 1998,17.2896871816
"100",Apr 1998,7.1660141649
"101",May 1998,3.3915395803
"102",Jun 1998,-1.5568150982
"103",Jul 1998,-3.57227758
"104",Aug 1998,-11.3705421031
"105",Sep 1998,-1.7581868315
"106",Oct 1998,-0.334231548599999
"107",Nov 1998,-0.7926457048
"108",Dec 1998,1.6222997767
"109",Jan 1999,5.2668441823
"110",Feb 1999,3.2191181379
"111",Mar 1999,2.351368166
"112",Apr 1999,-3.9360820904
"113",May 1999,-2.1222109793
"114",Jun 1999,0.9917047572
"115",Jul 1999,14.644292085
"116",Aug 1999,1.4739387082
"117",Sep 1999,3.8277117039
"118",Oct 1999,6.4663998129
"119",Nov 1999,13.7163924985
"120",Dec 1999,15.6837273788
"121",Jan 2000,9.4349825269
"122",Feb 2000,7.0199742487
"123",Mar 2000,-22.9474372572
"124",Apr 2000,-26.2630601351
"125",May 2000,-17.4834739712
"126",Jun 2000,3.156389266
"127",Jul 2000,-0.0145306165000001
"128",Aug 2000,0.1736888248
"129",Sep 2000,8.8692797216
"130",Oct 2000,-8.5971368216
"131",Nov 2000,-21.0168313919
"132",Dec 2000,14.6603147006
"133",Jan 2001,-1.1307874182
"134",Feb 2001,-13.2319992347
"135",Mar 2001,-8.64670037
"136",Apr 2001,0.4339194632
"137",May 2001,6.0502610472
"138",Jun 2001,-7.6330796754
"139",Jul 2001,-5.1954850044
"140",Aug 2001,9.3035663678
"141",Sep 2001,-8.5478060868
"142",Oct 2001,-2.1737138328
"143",Nov 2001,8.4450949444
"144",Dec 2001,8.1169134471
"145",Jan 2002,-4.0437850396
"146",Feb 2002,2.1511274324
"147",Mar 2002,8.6926557349
"148",Apr 2002,6.8930991689
"149",May 2002,-5.1243447266
"150",Jun 2002,-1.3218828085
"151",Jul 2002,-2.76389633
"152",Aug 2002,3.077450589
"153",Sep 2002,-5.4827630349
"154",Oct 2002,-1.3329312953
"155",Nov 2002,6.4148565892
"156",Dec 2002,1.6502137615
"157",Jan 2003,-6.7514727927
"158",Feb 2003,-5.5787772756
"159",Mar 2003,-2.3183691304
"160",Apr 2003,4.6504953608
"161",May 2003,9.7031746568
"162",Jun 2003,4.9849184781
"163",Jul 2003,4.3452694438
"164",Aug 2003,4.4872977841
"165",Sep 2003,3.108346314
"166",Oct 2003,4.5281954472
"167",Nov 2003,4.7057174493
"168",Dec 2003,9.1268340005
"169",Jan 2004,3.8148935936
"170",Feb 2004,3.201650016
"171",Mar 2004,-1.5761642339
"172",Apr 2004,-5.7072841788
"173",May 2004,-1.0316472415
"174",Jun 2004,7.185582297
"175",Jul 2004,-5.7995243778
"176",Aug 2004,2.8742996839
"177",Sep 2004,4.2030840831
"178",Oct 2004,6.1306956638
"179",Nov 2004,6.0846355269
"180",Dec 2004,6.0655507041
"181",Jan 2005,-0.1308227254
"182",Feb 2005,4.3955319821
"183",Mar 2005,-3.8495139524
"184",Apr 2005,0.9126989333
"185",May 2005,-3.264044966
"186",Jun 2005,1.7718369264
"187",Jul 2005,2.0700525747
"188",Aug 2005,5.2704598225
"189",Sep 2005,3.837753185
"190",Oct 2005,-4.0437255103
"191",Nov 2005,7.5282872238
"192",Dec 2005,2.6938809663
"193",Jan 2006,19.0821376371
"194",Feb 2006,0.4339105701
"195",Mar 2006,2.8222677744
"196",Apr 2006,8.0771857399
"197",May 2006,-3.3988698882
"198",Jun 2006,-3.0347861195
"199",Jul 2006,-1.6464718453
"200",Aug 2006,5.7718119205
"201",Sep 2006,1.669537882
"202",Oct 2006,6.0092583683
"203",Nov 2006,6.0249828154
"204",Dec 2006,8.6725183996
"205",Jan 2007,1.7838557953
"206",Feb 2007,0.4049834651
"207",Mar 2007,4.0851619397
"208",Apr 2007,8.0954740374
"209",May 2007,6.6004241272
"210",Jun 2007,2.5231117154
"211",Jul 2007,-1.0856891853
"212",Aug 2007,-1.5794946954
"213",Sep 2007,0.0956510785
"214",Oct 2007,7.5777955215
"215",Nov 2007,-4.6066980077
"216",Dec 2007,0.7244628733
"217",Jan 2008,-7.3510681438
"218",Feb 2008,-0.2142015027
"219",Mar 2008,-5.0179427532
"220",Apr 2008,1.5199836093
"221",May 2008,-0.1310023609
"222",Jun 2008,6.3188933097
"223",Jul 2008,-8.1539196491
"224",Aug 2008,-7.3746136686
"225",Sep 2008,-14.0789401686
"226",Oct 2008,-21.3648280122
"227",Nov 2008,-1.4629418139
"228",Dec 2008,-0.5847477311
"229",Jan 2009,7.8397406272
"230",Feb 2009,3.3430028096
"231",Mar 2009,9.784549513
"232",Apr 2009,7.5988703837
"233",May 2009,24.1601766395
"234",Jun 2009,-1.6569540683
"235",Jul 2009,4.8269188559
"236",Aug 2009,-3.7892316096
"237",Sep 2009,10.7126192989
"238",Oct 2009,7.1746348527
"239",Nov 2009,0.2127406971
"240",Dec 2009,4.3708746786
"241",Jan 2010,9.2519809142
"242",Feb 2010,-8.2626874211
"243",Mar 2010,13.3098783354
"244",Apr 2010,6.47678645
"245",May 2010,-9.3340749256
"246",Jun 2010,4.7986046493
"247",Jul 2010,26.7932300243
"248",Aug 2010,4.4364557422
"249",Sep 2010,12.0045299612
"250",Oct 2010,-4.500001392
"251",Nov 2010,5.0647275504
"252",Dec 2010,12.1790802682
"253",Jan 2011,6.5835516066
"254",Feb 2011,0.4360723405
"255",Mar 2011,-0.5321607405
"256",Apr 2011,13.9743204345
"257",May 2011,-4.4301579324
"258",Jun 2011,-1.9547235245
"259",Jul 2011,2.2414979802
"260",Aug 2011,-10.2457066258
"261",Sep 2011,-11.801895125
"262",Oct 2011,10.1846074881
"263",Nov 2011,-0.2415629838
"264",Dec 2011,-4.9159690841
"265",Jan 2012,0.5070004501
"266",Feb 2012,2.2950863256
"267",Mar 2012,4.3786829298
"268",Apr 2012,9.5210520808
"269",May 2012,-8.698301111
"270",Jun 2012,5.4127919314
"271",Jul 2012,-1.4448239226
"272",Aug 2012,1.0362843183
"273",Sep 2012,0.6751427365
"274",Oct 2012,1.6987036161
"275",Nov 2012,-3.3304416854
"276",Dec 2012,-0.5854889664
"277",Jan 2013,6.2252272656
"278",Feb 2013,1.7791902271
"279",Mar 2013,5.2112027502
"280",Apr 2013,5.3823560694
"281",May 2013,2.671683525
"282",Jun 2013,-1.020865519
"283",Jul 2013,7.3269992712
"284",Aug 2013,-5.792945198
"285",Sep 2013,3.170792942
"286",Oct 2013,0.4155870055
"287",Nov 2013,4.7989063584
"288",Dec 2013,2.7261459522
"289",Jan 2014,10.9898082841
"290",Feb 2014,10.3015744482
"291",Mar 2014,-11.2827876933
"292",Apr 2014,-4.6384257098
"293",May 2014,1.2825674438
"294",Jun 2014,-1.771332389
"295",Jul 2014,-3.2227629639
"296",Aug 2014,1.1659206516
"297",Sep 2014,0.2816661017
"298",Oct 2014,-1.1393179407
"299",Nov 2014,7.2469644248
"300",Dec 2014,2.0511143161
"301",Jan 2015,-0.8145237098
"302",Feb 2015,6.6380702866
"303",Mar 2015,2.1302819634
"304",Apr 2015,4.1674560513
"305",May 2015,0.3410504451
"306",Jun 2015,-0.9092650207
"307",Jul 2015,4.3377448579
"308",Aug 2015,-4.659053585
"309",Sep 2015,-0.1501738239
"310",Oct 2015,4.1740589547
"311",Nov 2015,-0.8738781874
"312",Dec 2015,2.854134353
"313",Jan 2016,-7.3825908277
"314",Feb 2016,-2.7048972689
"315",Mar 2016,5.6369710495
"316",Apr 2016,-2.0622057526
"317",May 2016,4.9891100707
"318",Jun 2016,-12.8892021839
"319",Jul 2016,5.7702334319
"320",Aug 2016,3.5085269404
"321",Sep 2016,4.0547489849
"322",Oct 2016,-7.1557261579
"323",Nov 2016,1.4120551508
"324",Dec 2016,-1.0064118429
"325",Jan 2017,6.3255592282
"326",Feb 2017,2.5287077912
"327",Mar 2017,2.2069172966
"328",Apr 2017,11.3988195843
"329",May 2017,11.3245633924
"330",Jun 2017,0.587936251
"331",Jul 2017,0.8313284057
"332",Aug 2017,4.4527537666
"333",Sep 2017,3.4648998597
"334",Oct 2017,6.1310022589
"335",Nov 2017,-3.432035053
"336",Dec 2017,3.6260684547
"337",Jan 2018,-2.9000540224
"338",Feb 2018,1.1303957218
"339",Mar 2018,-2.505987477
"340",Apr 2018,-2.8918205561
"341",May 2018,-1.3481240588
"342",Jun 2018,1.3633046988
"343",Jul 2018,4.0959098462
"344",Aug 2018,2.1031000981
"345",Sep 2018,-1.2370635089
"346",Oct 2018,-8.3145567484
"347",Nov 2018,-2.1919510468
"348",Dec 2018,-2.6571181653
"349",Jan 2019,4.0136075038
"350",Feb 2019,3.3749956772
"351",Mar 2019,4.0679194376
"352",Apr 2019,3.5815256798
"353",May 2019,-2.4515110046
"354",Jun 2019,2.2392025677
"355",Jul 2019,-14.3643794369
"356",Aug 2019,-5.141310712
"357",Sep 2019,-1.4929690972
"358",Oct 2019,6.7909450137
