"","RET"
"1990-01-01",1.09798315
"1990-02-01",0.0787287000000001
"1990-03-01",-1.18291615
"1990-04-01",-3.0546577
"1990-05-01",-0.28758075
"1990-06-01",1.8575691
"1990-07-01",3.40742835
"1990-08-01",0.74955385
"1990-09-01",-2.0478061
"1990-10-01",-0.2891514
"1990-11-01",-0.0764195499999997
"1990-12-01",-0.23268815
"1991-01-01",-0.5627197
"1991-02-01",2.88485035
"1991-03-01",2.6471013
"1991-04-01",2.86157355
"1991-05-01",1.8673022
"1991-06-01",-0.418758
"1991-07-01",1.648892
"1991-08-01",2.4878282
"1991-09-01",5.22115225
"1991-10-01",4.7703363
"1991-11-01",4.18048315
"1991-12-01",4.9589683
"1992-01-01",4.86451005
"1992-02-01",4.7935791
"1992-03-01",3.24860605
"1992-04-01",7.49576165
"1992-05-01",9.89558335
"1992-06-01",8.8899527
"1992-07-01",5.96811485
"1992-08-01",4.97265675
"1992-09-01",4.2901406
"1992-10-01",1.50356525
"1992-11-01",1.98966885
"1992-12-01",4.53617895
"1993-01-01",6.4569065
"1993-02-01",6.6735591
"1993-03-01",9.62786965
"1993-04-01",11.79423315
"1993-05-01",12.4648638
"1993-06-01",12.06342595
"1993-07-01",12.34954555
"1993-08-01",14.7112626
"1993-09-01",14.74894355
"1993-10-01",15.3682709
"1993-11-01",14.7075285
"1993-12-01",16.66167335
"1994-01-01",20.38686395
"1994-02-01",20.15863445
"1994-03-01",18.3956004
"1994-04-01",19.6426813
"1994-05-01",18.50956595
"1994-06-01",17.91446145
"1994-07-01",18.94233365
"1994-08-01",20.15790405
"1994-09-01",19.44850095
"1994-10-01",20.19244275
"1994-11-01",19.0421831
"1994-12-01",18.9261442
"1995-01-01",18.94171115
"1995-02-01",18.7158763
"1995-03-01",20.41423755
"1995-04-01",21.0635116
"1995-05-01",22.1866704
"1995-06-01",21.97696625
"1995-07-01",23.8347978
"1995-08-01",23.7077731
"1995-09-01",24.866009
"1995-10-01",24.730245
"1995-11-01",24.64973735
"1995-12-01",25.57663105
"1996-01-01",25.7900899
"1996-02-01",26.82959575
"1996-03-01",27.82747965
"1996-04-01",29.4623713
"1996-05-01",30.87300915
"1996-06-01",30.7111919
"1996-07-01",30.05300585
"1996-08-01",31.4282931
"1996-09-01",31.5961581
"1996-10-01",33.3891952
"1996-11-01",34.4423984
"1996-12-01",35.50866005
"1997-01-01",34.988133
"1997-02-01",36.56394845
"1997-03-01",36.86103395
"1997-04-01",36.5405439
"1997-05-01",36.9521164
"1997-06-01",36.86478385
"1997-07-01",36.3490512
"1997-08-01",36.91355255
"1997-09-01",38.3716949
"1997-10-01",39.25975515
"1997-11-01",39.1451655
"1997-12-01",39.1512679
"1998-01-01",39.63448905
"1998-02-01",41.55315455
"1998-03-01",44.07344235
"1998-04-01",44.4674311
"1998-05-01",45.29432595
"1998-06-01",44.32728465
"1998-07-01",42.6056971
"1998-08-01",39.3139247
"1998-09-01",37.9433883
"1998-10-01",38.36829135
"1998-11-01",38.71288545
"1998-12-01",38.84394555
"1999-01-01",39.91475885
"1999-02-01",40.99599175
"1999-03-01",42.8464252
"1999-04-01",45.2458394
"1999-05-01",44.85852025
"1999-06-01",45.6267856
"1999-07-01",47.45711665
"1999-08-01",48.36175895
"1999-09-01",47.87685835
"1999-10-01",47.8146729
"1999-11-01",50.44660015
"1999-12-01",52.586757
"2000-01-01",53.3867091
"2000-02-01",53.3880809
"2000-03-01",53.8349835
"2000-04-01",52.57219135
"2000-05-01",51.3938312
"2000-06-01",53.41885835
"2000-07-01",53.58557685
"2000-08-01",54.1869497
"2000-09-01",53.53706745
"2000-10-01",52.55823515
"2000-11-01",51.5070017
"2000-12-01",53.60989145
"2001-01-01",54.60842805
"2001-02-01",53.81337245
"2001-03-01",51.4524364
"2001-04-01",53.19039295
"2001-05-01",53.80157905
"2001-06-01",52.56051505
"2001-07-01",51.7376541
"2001-08-01",52.2935353
"2001-09-01",48.0591087
"2001-10-01",49.8295226
"2001-11-01",52.0312466
"2001-12-01",52.89849675
"2002-01-01",52.1900204
"2002-02-01",51.91309645
"2002-03-01",53.49891995
"2002-04-01",54.558797
"2002-05-01",54.84907625
"2002-06-01",53.2779355
"2002-07-01",51.0539025
"2002-08-01",50.9081424
"2002-09-01",48.39115745
"2002-10-01",48.8277932
"2002-11-01",50.5338098
"2002-12-01",50.46581015
"2003-01-01",49.72536805
"2003-02-01",48.53862545
"2003-03-01",48.118684
"2003-04-01",51.5829731
"2003-05-01",55.56515905
"2003-06-01",57.00420135
"2003-07-01",58.40865245
"2003-08-01",59.7445179
"2003-09-01",60.87562775
"2003-10-01",63.1889023
"2003-11-01",63.6187283
"2003-12-01",65.3274887
"2004-01-01",67.63705315
"2004-02-01",69.37713265
"2004-03-01",68.6839528
"2004-04-01",67.909215
"2004-05-01",68.00353905
"2004-06-01",68.74857405
"2004-07-01",68.0525914
"2004-08-01",67.92885555
"2004-09-01",68.8022654
"2004-10-01",69.83819155
"2004-11-01",71.97169685
"2004-12-01",73.2028369
"2005-01-01",73.9038203
"2005-02-01",75.3456647
"2005-03-01",74.51933225
"2005-04-01",73.6890914
"2005-05-01",73.09900435
"2005-06-01",73.75087305
"2005-07-01",74.32511235
"2005-08-01",75.65886485
"2005-09-01",75.5526574
"2005-10-01",74.50648345
"2005-11-01",75.24473135
"2005-12-01",76.28086955
"2006-01-01",78.71076245
"2006-02-01",79.20366225
"2006-03-01",79.7414677
"2006-04-01",81.42880305
"2006-05-01",80.9410155
"2006-06-01",80.64925535
"2006-07-01",80.9447401
"2006-08-01",82.0813196
"2006-09-01",82.58369455
"2006-10-01",83.7264999
"2006-11-01",85.08242195
"2006-12-01",86.4771416
"2007-01-01",86.87618465
"2007-02-01",87.02918755
"2007-03-01",87.8015854
"2007-04-01",88.8513998
"2007-05-01",89.01811365
"2007-06-01",88.6523073
"2007-07-01",88.58697965
"2007-08-01",87.79556245
"2007-09-01",87.22199925
"2007-10-01",88.90550285
"2007-11-01",86.2435936
"2007-12-01",84.8564798
"2008-01-01",83.1542354
"2008-02-01",84.0133514
"2008-03-01",83.08622375
"2008-04-01",83.69414665
"2008-05-01",83.8726105
"2008-06-01",82.00977635
"2008-07-01",80.61696535
"2008-08-01",80.0764995
"2008-09-01",76.2747145
"2008-10-01",69.5751021
"2008-11-01",67.407244
"2008-12-01",66.2198236
"2009-01-01",66.48174555
"2009-02-01",66.27556965
"2009-03-01",67.492238
"2009-04-01",74.67313635
"2009-05-01",77.770217
"2009-06-01",78.37252785
"2009-07-01",80.2159623
"2009-08-01",83.03108655
"2009-09-01",84.19332085
"2009-10-01",84.50982645
"2009-11-01",84.2430118
"2009-12-01",84.54256985
"2010-01-01",84.52206855
"2010-02-01",83.31737805
"2010-03-01",84.58105135
"2010-04-01",85.8346019
"2010-05-01",83.7310973
"2010-06-01",84.02886815
"2010-07-01",86.38763595
"2010-08-01",86.01114085
"2010-09-01",88.96238655
"2010-10-01",90.1853447
"2010-11-01",89.36556405
"2010-12-01",91.6584281
"2011-01-01",92.52924535
"2011-02-01",93.25542125
"2011-03-01",92.8518572
"2011-04-01",94.6664284
"2011-05-01",94.52172015
"2011-06-01",93.94888395
"2011-07-01",94.13863355
"2011-08-01",92.26866545
"2011-09-01",90.22381715
"2011-10-01",91.9859484
"2011-11-01",90.92748585
"2011-12-01",90.2779691
"2012-01-01",92.2605286
"2012-02-01",93.9803308
"2012-03-01",94.17522665
"2012-04-01",94.4542353
"2012-05-01",91.9099847
"2012-06-01",92.7651188
"2012-07-01",92.82073475
"2012-08-01",93.9212363
"2012-09-01",95.219087
"2012-10-01",95.64104055
"2012-11-01",95.89063335
"2012-12-01",97.0374931
"2013-01-01",97.582077
"2013-02-01",97.43174315
"2013-03-01",97.6092882
"2013-04-01",98.229643
"2013-05-01",98.5476691
"2013-06-01",97.91385495
"2013-07-01",99.41417035
"2013-08-01",100.4687217
"2013-09-01",102.1138344
"2013-10-01",102.89090265
"2013-11-01",103.43138405
"2013-12-01",104.358468
"2014-01-01",104.62733075
"2014-02-01",106.15282315
"2014-03-01",105.592237
"2014-04-01",105.59831055
"2014-05-01",105.502019
"2014-06-01",105.51218665
"2014-07-01",104.89197485
"2014-08-01",105.05181925
"2014-09-01",104.0192206
"2014-10-01",103.41208545
"2014-11-01",103.32412415
"2014-12-01",103.38034825
"2015-01-01",102.92356295
"2015-02-01",104.7092181
"2015-03-01",103.7102642
"2015-04-01",105.44520765
"2015-05-01",106.17477955
"2015-06-01",106.34957765
"2015-07-01",106.3587227
