"","ym","RET"
"1",Jan 1990,9.9671668415
"2",Feb 1990,-1.6220879709
"3",Mar 1990,-1.9666762795
"4",Apr 1990,-6.828202245
"5",May 1990,7.2061314669
"6",Jun 1990,4.0871789484
"7",Jul 1990,0.3071425522
"8",Aug 1990,-9.8034654479
"9",Sep 1990,-6.8960179595
"10",Oct 1990,1.6200657351
"11",Nov 1990,2.3465533879
"12",Dec 1990,4.4026283681
"13",Jan 1991,3.9429263004
"14",Feb 1991,1.9043577266
"15",Mar 1991,-0.6625779624
"16",Apr 1991,1.300934192
"17",May 1991,0.5322793456
"18",Jun 1991,-5.2454739479
"19",Jul 1991,4.5057722074
"20",Aug 1991,8.1755316725
"21",Sep 1991,5.9164894039
"22",Oct 1991,7.3334818119
"23",Nov 1991,12.1206342946
"24",Dec 1991,1.6095289907
"25",Jan 1992,-1.0700637177
"26",Feb 1992,4.3348583119
"27",Mar 1992,-6.4647295943
"28",Apr 1992,18.785627003
"29",May 1992,10.6878439639
"30",Jun 1992,-1.5873881586
"31",Jul 1992,-3.858778216
"32",Aug 1992,9.0182354716
"33",Sep 1992,-8.9449814934
"34",Oct 1992,-6.8627351687
"35",Nov 1992,5.7398792444
"36",Dec 1992,11.5748793785
"37",Jan 1993,1.6857364037
"38",Feb 1993,-6.0155548468
"39",Mar 1993,14.5828351267
"40",Apr 1993,14.3146575206
"41",May 1993,10.4794382215
"42",Jun 1993,-3.6915213566
"43",Jul 1993,-0.0919069764000002
"44",Aug 1993,14.6222240073
"45",Sep 1993,-0.4216696236
"46",Oct 1993,5.984491883
"47",Nov 1993,-0.4015581056
"48",Dec 1993,18.3528253399
"49",Jan 1994,16.6536974421
"50",Feb 1994,-2.4973608248
"51",Mar 1994,-9.2893697151
"52",Apr 1994,0.0475544016000002
"53",May 1994,4.0709061519
"54",Jun 1994,0.0465669998999998
"55",Jul 1994,5.4953282203
"56",Aug 1994,2.5494141067
"57",Sep 1994,2.1153526353
"58",Oct 1994,0.5587506416
"59",Nov 1994,-3.1265170938
"60",Dec 1994,1.5120228789
"61",Jan 1995,1.3068568249
"62",Feb 1995,-1.6149740524
"63",Mar 1995,4.3853411041
"64",Apr 1995,-0.2428864317
"65",May 1995,1.8550307347
"66",Jun 1995,2.8557156318
"67",Jul 1995,5.703483819
"68",Aug 1995,1.6782059582
"69",Sep 1995,3.1996042121
"70",Oct 1995,-1.8457231458
"71",Nov 1995,-2.4049066128
"72",Dec 1995,5.8818742277
"73",Jan 1996,-0.9774757938
"74",Feb 1996,3.2353335492
"75",Mar 1996,1.5367367964
"76",Apr 1996,11.3506403339
"77",May 1996,6.8581790653
"78",Jun 1996,-1.8482108369
"79",Jul 1996,0.4479287066
"80",Aug 1996,6.5435531563
"81",Sep 1996,1.895256722
"82",Oct 1996,7.1824494017
"83",Nov 1996,5.5555706367
"84",Dec 1996,3.5472059876
"85",Jan 1997,-0.4462902256
"86",Feb 1997,6.2519508051
"87",Mar 1997,7.0487733095
"88",Apr 1997,-5.7859864615
"89",May 1997,3.287220364
"90",Jun 1997,0.3840623933
"91",Jul 1997,0.9300083561
"92",Aug 1997,-2.8947086032
"93",Sep 1997,11.9521274114
"94",Oct 1997,-6.2636041957
"95",Nov 1997,2.0777255372
"96",Dec 1997,1.4323504811
"97",Jan 1998,2.8516927894
"98",Feb 1998,6.0655701743
"99",Mar 1998,19.2518032256
"100",Apr 1998,9.6851029686
"101",May 1998,5.4779267852
"102",Jun 1998,-3.3881569621
"103",Jul 1998,2.6428718184
"104",Aug 1998,-10.233684251
"105",Sep 1998,-7.0878361043
"106",Oct 1998,1.2045045063
"107",Nov 1998,5.6013880537
"108",Dec 1998,1.1430734787
"109",Jan 1999,6.1611273451
"110",Feb 1999,6.1950199303
"111",Mar 1999,1.1050168042
"112",Apr 1999,-4.4085338813
"113",May 1999,2.5224630895
"114",Jun 1999,4.4598211
"115",Jul 1999,7.8827808732
"116",Aug 1999,9.0302522185
"117",Sep 1999,2.8545742176
"118",Oct 1999,8.037292478
"119",Nov 1999,16.3028571644
"120",Dec 1999,9.860821375
"121",Jan 2000,6.5791777289
"122",Feb 2000,25.7024017707
"123",Mar 2000,-23.8629267962
"124",Apr 2000,-25.9092837462
"125",May 2000,-20.1802432826
"126",Jun 2000,8.3985474202
"127",Jul 2000,-0.1757330534
"128",Aug 2000,12.6084488219
"129",Sep 2000,13.0775394612
"130",Oct 2000,-10.7138118569
"131",Nov 2000,-17.3565821971
"132",Dec 2000,8.063204407
"133",Jan 2001,-1.3421737984
"134",Feb 2001,-1.4876640433
"135",Mar 2001,-12.0284903423
"136",Apr 2001,4.5286943016
"137",May 2001,6.2717360631
"138",Jun 2001,-1.2373314359
"139",Jul 2001,-3.8925059888
"140",Aug 2001,4.4978878563
"141",Sep 2001,-8.0534450637
"142",Oct 2001,-1.8024838849
"143",Nov 2001,5.6895798639
"144",Dec 2001,7.260179216
"145",Jan 2002,-2.040335134
"146",Feb 2002,0.9067273192
"147",Mar 2002,5.3255745562
"148",Apr 2002,5.3100243457
"149",May 2002,3.4408897732
"150",Jun 2002,-8.4445158722
"151",Jul 2002,-4.5922420704
"152",Aug 2002,3.0804747697
"153",Sep 2002,-6.6349603141
"154",Oct 2002,1.9648667956
"155",Nov 2002,-1.8876712306
"156",Dec 2002,3.3830890743
"157",Jan 2003,-3.812988578
"158",Feb 2003,-3.5302746962
"159",Mar 2003,0.0832062847000001
"160",Apr 2003,7.129068524
"161",May 2003,9.7743488947
"162",Jun 2003,4.3225008856
"163",Jul 2003,3.8108522424
"164",Aug 2003,9.8070870374
"165",Sep 2003,3.1719340974
"166",Oct 2003,4.6381311763
"167",Nov 2003,2.2172030554
"168",Dec 2003,8.4900855905
"169",Jan 2004,7.6604728388
"170",Feb 2004,4.0485332178
"171",Mar 2004,-2.5944446573
"172",Apr 2004,-5.6652648279
"173",May 2004,1.2720867227
"174",Jun 2004,1.940137173
"175",Jul 2004,-3.0547383622
"176",Aug 2004,-0.4089171832
"177",Sep 2004,0.8125887474
"178",Oct 2004,7.3523693317
"179",Nov 2004,7.0217562052
"180",Dec 2004,5.2328117185
"181",Jan 2005,0.4216863171
"182",Feb 2005,3.8649676047
"183",Mar 2005,-1.3226396986
"184",Apr 2005,1.9822821757
"185",May 2005,-2.6035084567
"186",Jun 2005,6.527855652
"187",Jul 2005,2.078873576
"188",Aug 2005,11.1473286084
"189",Sep 2005,1.5024013807
"190",Oct 2005,-2.3608405129
"191",Nov 2005,3.1690417722
"192",Dec 2005,3.1672036387
"193",Jan 2006,10.3392160536
"194",Feb 2006,1.9126974573
"195",Mar 2006,9.7536060206
"196",Apr 2006,11.9374277034
"197",May 2006,-5.5776020704
"198",Jun 2006,-2.7558345646
"199",Jul 2006,-3.1771277895
"200",Aug 2006,5.8031975487
"201",Sep 2006,-0.1355806376
"202",Oct 2006,3.8002062495
"203",Nov 2006,6.7693312583
"204",Dec 2006,4.6356528883
"205",Jan 2007,7.986122585
"206",Feb 2007,5.6716061562
"207",Mar 2007,3.3555689509
"208",Apr 2007,5.376572277
"209",May 2007,8.072098236
"210",Jun 2007,0.4799800824
"211",Jul 2007,-3.468865162
"212",Aug 2007,-4.1847743631
"213",Sep 2007,-0.2664723232
"214",Oct 2007,7.4094082457
"215",Nov 2007,-9.2616722647
"216",Dec 2007,-0.7145399561
"217",Jan 2008,-13.4422799486
"218",Feb 2008,5.3096129212
"219",Mar 2008,-4.4224905475
"220",Apr 2008,2.4466539717
"221",May 2008,6.020806362
"222",Jun 2008,1.9131805209
"223",Jul 2008,-2.2945831797
"224",Aug 2008,-6.0985005479
"225",Sep 2008,-11.2702529966
