"","ym","RET"
"1",Jan 1990,9.5039926317
"2",Feb 1990,-5.2579056369
"3",Mar 1990,-5.2177481085
"4",Apr 1990,-1.4261044994
"5",May 1990,5.6360749763
"6",Jun 1990,6.1955465691
"7",Jul 1990,9.0484688358
"8",Aug 1990,-20.2827049529
"9",Sep 1990,-5.4550035256
"10",Oct 1990,4.8198643804
"11",Nov 1990,4.208811422
"12",Dec 1990,4.1324166729
"13",Jan 1991,-2.0701783572
"14",Feb 1991,-0.1325453457
"15",Mar 1991,-5.6732713039
"16",Apr 1991,1.2387928275
"17",May 1991,-2.4952857232
"18",Jun 1991,-20.7645139576
"19",Jul 1991,5.3617603928
"20",Aug 1991,-0.6512134862
"21",Sep 1991,7.3443801317
"22",Oct 1991,-2.6103458554
"23",Nov 1991,-2.0193266339
"24",Dec 1991,4.6236890398
"25",Jan 1992,-5.1366944132
"26",Feb 1992,-2.2744850385
"27",Mar 1992,-2.3210035879
"28",Apr 1992,5.7766197054
"29",May 1992,10.8270896193
"30",Jun 1992,-1.3521897512
"31",Jul 1992,-5.5144461295
"32",Aug 1992,-5.0798322542
"33",Sep 1992,-9.4034833827
"34",Oct 1992,-12.2775652058
"35",Nov 1992,10.6011603151
"36",Dec 1992,3.473467426
"37",Jan 1993,2.8958080481
"38",Feb 1993,-0.9845370923
"39",Mar 1993,4.6667469649
"40",Apr 1993,-0.5789982312
"41",May 1993,-3.0822661724
"42",Jun 1993,-3.8873531884
"43",Jul 1993,-0.4478451875
"44",Aug 1993,4.7269474441
"45",Sep 1993,-1.0399555392
"46",Oct 1993,-2.6772332146
"47",Nov 1993,-2.6603942929
"48",Dec 1993,11.175905649
"49",Jan 1994,24.2181380437
"50",Feb 1994,3.5705619553
"51",Mar 1994,-2.8989404103
"52",Apr 1994,-7.4430684529
"53",May 1994,-0.3838861412
"54",Jun 1994,-1.385709808
"55",Jul 1994,-11.5485387781
"56",Aug 1994,9.752981941
"57",Sep 1994,8.8228270328
"58",Oct 1994,1.4118233018
"59",Nov 1994,1.8144243044
"60",Dec 1994,8.0597547054
"61",Jan 1995,-2.7608447503
"62",Feb 1995,-2.4164421686
"63",Mar 1995,3.9331850512
"64",Apr 1995,1.1056306094
"65",May 1995,-1.8280458395
"66",Jun 1995,-1.5820330265
"67",Jul 1995,10.5201886748
"68",Aug 1995,0.2960665726
"69",Sep 1995,11.6366906332
"70",Oct 1995,-4.3523149432
