"","ym","RET"
"1",1983-12-01,24.7699777896
"2",1984-01-01,5.0988995617
"3",1984-02-01,7.819429917
"4",1984-03-01,20.5717967629
"5",1984-04-01,-1.9685411913
"6",1984-05-01,-14.3975862769
"7",1984-06-01,15.4489003261
"8",1984-07-01,-5.8927648886
"9",1984-08-01,9.1125342859
"10",1984-09-01,16.6165999585
"11",1984-10-01,5.5387635141
"12",1984-11-01,2.5572733574
"13",1984-12-01,16.6174049462
"14",1985-01-01,5.0257712382
"15",1985-02-01,1.7379339893
"16",1985-03-01,30.4192054731
"17",1985-04-01,5.379682714
"18",1985-05-01,13.9265289084
"19",1985-06-01,7.5399575577
"20",1985-07-01,3.3173374093
"21",1985-08-01,8.9214295036
"22",1985-09-01,16.5525128058
"23",1985-10-01,9.1824090311
"24",1985-11-01,10.3072674442
"25",1985-12-01,10.9878885738
"26",1986-01-01,9.4215603114
"27",1986-02-01,9.3883053823
"28",1986-03-01,35.2600461504
"29",1986-04-01,19.3828377385
"30",1986-05-01,0.380114459
"31",1986-06-01,32.286861179
"32",1986-07-01,-7.5577878994
"33",1986-08-01,3.0331598222
"34",1986-09-01,14.5215320349
"35",1986-10-01,-2.3517217338
"36",1986-11-01,6.8477824913
"37",1986-12-01,21.7754583952
"38",1987-01-01,16.2829887272
"39",1987-02-01,10.9652559216
"40",1987-03-01,35.7243323954
"41",1987-04-01,-0.8473042922
"42",1987-05-01,0.5771673354
"43",1987-06-01,42.6520456585
"44",1987-07-01,-2.0510790496
"45",1987-08-01,-2.2194756339
"46",1987-09-01,21.8690965387
"47",1987-10-01,-21.0864319021
"48",1987-11-01,-2.880725105
"49",1987-12-01,33.5946361302
"50",1988-01-01,-8.1554023983
"51",1988-02-01,-1.3212974657
"52",1988-03-01,20.5960379111
"53",1988-04-01,20.2750155258
"54",1988-05-01,5.2916440867
"55",1988-06-01,18.1985981733
"56",1988-07-01,3.5552742868
"57",1988-08-01,-15.770871707
"58",1988-09-01,34.6621552242
"59",1988-10-01,-4.3606634105
"60",1988-11-01,-4.5757344551
"61",1988-12-01,9.1294212587
"62",1989-01-01,11.1509976809
"63",1989-02-01,4.8421685292
"64",1989-03-01,15.0642328691
"65",1989-04-01,-0.6757304172
"66",1989-05-01,-9.7476154134
"67",1989-06-01,20.6522175017
"68",1989-07-01,22.6977816883
"69",1989-08-01,-2.0176657998
"70",1989-09-01,3.7197500702
"71",1989-10-01,-6.6035056008
"72",1989-11-01,10.5725496388
"73",1989-12-01,24.5354502388
"74",1990-01-01,6.3434208408
"75",1990-02-01,-7.2123085828
"76",1990-03-01,13.1834160069
"77",1990-04-01,-4.8051185542
"78",1990-05-01,8.3034598789
"79",1990-06-01,16.3646731084
"80",1990-07-01,0.276707919
"81",1990-08-01,-6.1387492603
"82",1990-09-01,0.5217379667
"83",1990-10-01,2.0965328577
"84",1990-11-01,-4.4534747502
"85",1990-12-01,16.6653301234
"86",1991-01-01,-4.90058697
"87",1991-02-01,1.2641267367
"88",1991-03-01,-8.903454386
"89",1991-04-01,-10.1652975887
"90",1991-05-01,-1.0042579762
"91",1991-06-01,7.556286593
"92",1991-07-01,9.0050496326
"93",1991-08-01,18.0686015278
"94",1991-09-01,27.8147755022
"95",1991-10-01,8.2322656062
"96",1991-11-01,-1.5054309275
"97",1991-12-01,18.5222150346
"98",1992-01-01,-2.5700442444
"99",1992-02-01,-0.4571706014
"100",1992-03-01,-5.786700123
"101",1992-04-01,10.5907183415
"102",1992-05-01,6.1127519362
"103",1992-06-01,10.1873024872
"104",1992-07-01,-9.4506642282
"105",1992-08-01,-0.0367099681
"106",1992-09-01,-9.1862330372
"107",1992-10-01,-11.4874402798
"108",1992-11-01,-3.6480831615
"109",1992-12-01,3.7842962262
"110",1993-01-01,4.5167873436
