"","ym","RET"
"1",1990-01-01,3.940600558
"2",1990-02-01,-3.4163391936
"3",1990-03-01,0.4568107439
"4",1990-04-01,-6.0872613715
"5",1990-05-01,8.8983722372
"6",1990-06-01,-1.3127847862
"7",1990-07-01,0.6915009665
"8",1990-08-01,-12.6270065024
"9",1990-09-01,-20.3538749885
"10",1990-10-01,-1.8550015981
"11",1990-11-01,4.2224543169
"12",1990-12-01,5.2961440022
"13",1991-01-01,3.4060969748
"14",1991-02-01,12.9405464663
"15",1991-03-01,-2.0605140263
"16",1991-04-01,-2.4671792067
"17",1991-05-01,-5.4805775011
"18",1991-06-01,-8.0789049477
"19",1991-07-01,3.58276986
"20",1991-08-01,16.1675065491
"21",1991-09-01,-2.7078187798
"22",1991-10-01,-0.3543125237
"23",1991-11-01,-10.876304286
"24",1991-12-01,4.9020471849
"25",1992-01-01,21.5209487976
"26",1992-02-01,5.1692764746
"27",1992-03-01,-5.718173825
"28",1992-04-01,-7.3081092204
"29",1992-05-01,22.3882162256
"30",1992-06-01,-15.12133976
"31",1992-07-01,-15.9651341216
"32",1992-08-01,-2.5726357472
"33",1992-09-01,-10.6122930016
"34",1992-10-01,-13.304201672
"35",1992-11-01,-3.6415868112
"36",1992-12-01,0.0331
"37",1993-01-01,16.4532504064
"38",1993-02-01,1.9336878032
"39",1993-03-01,15.90779324
"40",1993-04-01,8.858131136
"41",1993-05-01,10.066440032
"42",1993-06-01,15.6735129728
"43",1993-07-01,7.4585996832
"44",1993-08-01,36.407738742
"45",1993-09-01,28.5907040975
"46",1993-10-01,-0.9567831629
"47",1993-11-01,5.4326500067
"48",1993-12-01,11.4054897549
"49",1994-01-01,12.7063802468
"50",1994-02-01,13.6145498429
"51",1994-03-01,-14.1405742508
"52",1994-04-01,-1.8337361786
"53",1994-05-01,-8.6155026143
"54",1994-06-01,0.4762112257
"55",1994-07-01,-4.7468322
"56",1994-08-01,7.8712653233
"57",1994-09-01,9.6844766795
"58",1994-10-01,1.2485251552
"59",1994-11-01,1.3828145224
"60",1994-12-01,8.1632172011
"61",1995-01-01,-0.949994263499999
"62",1995-02-01,10.2596032083
"63",1995-03-01,5.7234685302
"64",1995-04-01,1.2682252303
"65",1995-05-01,2.1041245121
"66",1995-06-01,3.3715785425
"67",1995-07-01,-0.6018365536
"68",1995-08-01,10.6988196221
"69",1995-09-01,3.9477801755
"70",1995-10-01,18.6135380772
"71",1995-11-01,-3.1553257019
"72",1995-12-01,2.251669962
"73",1996-01-01,0.573684292
"74",1996-02-01,5.0003809479
"75",1996-03-01,6.3188028156
"76",1996-04-01,4.9241942726
"77",1996-05-01,9.1044401064
"78",1996-06-01,3.7766035284
"79",1996-07-01,-3.2993053605
"80",1996-08-01,6.1952510886
"81",1996-09-01,3.0266248808
"82",1996-10-01,-0.4549463367
"83",1996-11-01,6.1846107894
"84",1996-12-01,9.1824367979
"85",1997-01-01,-9.2737904303
"86",1997-02-01,6.6984114581
"87",1997-03-01,-0.0246344068000002
"88",1997-04-01,-5.7894102533
"89",1997-05-01,8.6605501768
"90",1997-06-01,-2.1311927377
"91",1997-07-01,-3.43146061
"92",1997-08-01,5.1709829396
"93",1997-09-01,2.1533713959
"94",1997-10-01,9.7991939239
"95",1997-11-01,2.8927486319
"96",1997-12-01,-3.7440420982
"97",1998-01-01,9.317703676
"98",1998-02-01,6.5214615833
"99",1998-03-01,6.5536489967
"100",1998-04-01,-6.8074168008
"101",1998-05-01,9.2849580756
"102",1998-06-01,3.8279492529
"103",1998-07-01,3.4861937377
"104",1998-08-01,-12.4618967952
"105",1998-09-01,-4.2690233106
"106",1998-10-01,3.7785169494
"107",1998-11-01,-10.5066143547
"108",1998-12-01,-3.1367823167
"109",1999-01-01,2.5639860711
"110",1999-02-01,-2.2043868269
"111",1999-03-01,-1.8726528801
"112",1999-04-01,-1.2436240766
"113",1999-05-01,12.5221174325
"114",1999-06-01,-0.3255071978
"115",1999-07-01,5.5333736364
"116",1999-08-01,13.2741445788
"117",1999-09-01,-3.7851500567
"118",1999-10-01,6.5851748972
"119",1999-11-01,67.3103223525
"120",1999-12-01,13.5460382229
"121",2000-01-01,5.8994620333
"122",2000-02-01,41.358417593
"123",2000-03-01,-13.7557278921
"124",2000-04-01,-36.9574014777
"125",2000-05-01,32.5032151721
"126",2000-06-01,12.0750461868
"127",2000-07-01,-8.3429906182
"128",2000-08-01,2.6926527301
"129",2000-09-01,-6.4604310188
"130",2000-10-01,-8.6177558106
"131",2000-11-01,-7.6169274112
"132",2000-12-01,12.3009621397
"133",2001-01-01,-1.7016534689
"134",2001-02-01,3.6963760472
"135",2001-03-01,1.9028454623
"136",2001-04-01,5.1411740627
"137",2001-05-01,-14.3147767783
"138",2001-06-01,-1.5873747956
"139",2001-07-01,-4.4156472219
"140",2001-08-01,-0.3745294939
"141",2001-09-01,-10.2466753112
"142",2001-10-01,0.992734716099999
"143",2001-11-01,2.2554735548
"144",2001-12-01,31.3312339148
"145",2002-01-01,-7.5275310797
"146",2002-02-01,0.9807718614
"147",2002-03-01,-0.8939863837
"148",2002-04-01,6.4568858582
"149",2002-05-01,12.1515395726
"150",2002-06-01,-2.182984195
"151",2002-07-01,-2.8129220648
"152",2002-08-01,-4.9344729004
"153",2002-09-01,2.4999252017
"154",2002-10-01,-4.7018742054
"155",2002-11-01,-4.6372587852
"156",2002-12-01,4.6663096038
"157",2003-01-01,-7.8431014073
"158",2003-02-01,2.2591609028
"159",2003-03-01,-8.2590717397
"160",2003-04-01,1.6699280732
"161",2003-05-01,-0.8507562133
"162",2003-06-01,-3.7146375476
"163",2003-07-01,-3.5608580445
"164",2003-08-01,6.2696780429
"165",2003-09-01,-0.9205172836
"166",2003-10-01,8.4405655551
"167",2003-11-01,-3.3718892513
"168",2003-12-01,1.6636364962
"169",2004-01-01,10.4231514695
"170",2004-02-01,-2.7120997513
"171",2004-03-01,-1.6667449348
"172",2004-04-01,-4.6823139719
"173",2004-05-01,19.4657978107
"174",2004-06-01,-3.1760215961
"175",2004-07-01,0.5024227478
"176",2004-08-01,22.2082964704
"177",2004-09-01,1.7630424557
"178",2004-10-01,8.8036095794
"179",2004-11-01,17.3876546752
"180",2004-12-01,-1.4192781122
"181",2005-01-01,-0.4037258805
"182",2005-02-01,11.9394698391
"183",2005-03-01,-2.0834346711
"184",2005-04-01,7.0001415338
"185",2005-05-01,-5.3749959917
"186",2005-06-01,-5.7216943446
"187",2005-07-01,1.5363233156
"188",2005-08-01,19.386871312
"189",2005-09-01,-5.2930497537
"190",2005-10-01,-0.7634483711
"191",2005-11-01,-4.6392031662
"192",2005-12-01,4.8644206944
"193",2006-01-01,5.3699432147
"194",2006-02-01,5.507509826
"195",2006-03-01,-2.5708696024
"196",2006-04-01,3.6434608038
"197",2006-05-01,-9.8624917529
"198",2006-06-01,-6.9214659688
"199",2006-07-01,-9.3617968211
"200",2006-08-01,-0.5918104304
"201",2006-09-01,-0.3916098925
"202",2006-10-01,0.3682684089
"203",2006-11-01,2.8924618327
"204",2006-12-01,-0.780125429300001
"205",2007-01-01,2.0780886473
"206",2007-02-01,4.2202611951
"207",2007-03-01,7.8528042473
"208",2007-04-01,6.4105518997
"209",2007-05-01,1.9623755773
"210",2007-06-01,3.2642651091
"211",2007-07-01,4.6052426836
"212",2007-08-01,-7.6609381106
"213",2007-09-01,4.2664093104
"214",2007-10-01,4.3169491618
"215",2007-11-01,-15.9154156187
"216",2007-12-01,-9.1134329041
"217",2008-01-01,-9.9979116102
"218",2008-02-01,-5.2615220062
"219",2008-03-01,-6.6003765505
"220",2008-04-01,-6.1691612544
"221",2008-05-01,-3.0589740738
"222",2008-06-01,-4.3784573859
"223",2008-07-01,-10.1531524766
"224",2008-08-01,0.308505261799999
"225",2008-09-01,-9.7566424801
"226",2008-10-01,-34.0295372986
"227",2008-11-01,-3.5622155271
"228",2008-12-01,-16.0718386073
"229",2009-01-01,-6.549007871
"230",2009-02-01,0.6595555531
"231",2009-03-01,7.2382312156
"232",2009-04-01,12.0471628499
"233",2009-05-01,16.4241894154
"234",2009-06-01,9.4385305959
"235",2009-07-01,4.9802228459
"236",2009-08-01,-8.2352216655
"237",2009-09-01,-1.9396568217
"238",2009-10-01,11.4019505395
"239",2009-11-01,-2.6659221387
"240",2009-12-01,-7.2032759062
"241",2010-01-01,0.3249064968
"242",2010-02-01,-6.5955334309
"243",2010-03-01,-3.642284702
"244",2010-04-01,11.3603867551
"245",2010-05-01,1.8680057854
"246",2010-06-01,3.0118144808
"247",2010-07-01,6.1011167952
"248",2010-08-01,-2.707674732
"249",2010-09-01,4.7494775005
"250",2010-10-01,-3.9705178809
"251",2010-11-01,7.765301862
"252",2010-12-01,8.4315717909
"253",2011-01-01,-5.9011710457
"254",2011-02-01,44.7973345075
"255",2011-03-01,-1.6844031952
"256",2011-04-01,11.4547503232
"257",2011-05-01,3.3833689982
"258",2011-06-01,-6.7092785961
"259",2011-07-01,-3.3671055722
"260",2011-08-01,-3.328804502
"261",2011-09-01,-6.856583096
"262",2011-10-01,6.4831309521
"263",2011-11-01,-3.6839337512
"264",2011-12-01,1.1529842533
"265",2012-01-01,0.00520239659999973
"266",2012-02-01,33.6443541102
"267",2012-03-01,-0.412884899900001
"268",2012-04-01,-5.610876256
"269",2012-05-01,-26.3335085722
"270",2012-06-01,2.8209552756
"271",2012-07-01,-4.8848557988
"272",2012-08-01,0.9010163672
"273",2012-09-01,-1.8915593959
"274",2012-10-01,13.7890442014
"275",2012-11-01,0.284699584799999
"276",2012-12-01,-5.5428082667
"277",2013-01-01,3.4346497593
"278",2013-02-01,10.2171497709
"279",2013-03-01,-0.5715750443
"280",2013-04-01,-7.5126833181
"281",2013-05-01,2.6306857888
"282",2013-06-01,-3.3353914544
"283",2013-07-01,-4.2581983246
"284",2013-08-01,4.5953689623
"285",2013-09-01,8.1476262862
"286",2013-10-01,-3.6938421403
"287",2013-11-01,11.2317083874
"288",2013-12-01,-6.3451464375
"289",2014-01-01,-0.00925773799999993
"290",2014-02-01,20.1671028506
"291",2014-03-01,-0.9379405404
"292",2014-04-01,-0.9952132402
"293",2014-05-01,-7.4083681124
"294",2014-06-01,2.3251831748
"295",2014-07-01,0.7310919708
"296",2014-08-01,17.8989650935
"297",2014-09-01,-1.7368735212
"298",2014-10-01,-3.869509641
"299",2014-11-01,-5.3031301202
"300",2014-12-01,0.449442557800001
"301",2015-01-01,-10.5556102119
"302",2015-02-01,-6.9592361141
"303",2015-03-01,-13.7484535548
"304",2015-04-01,6.2539508417
"305",2015-05-01,10.0112815421
"306",2015-06-01,6.2646207803
"307",2015-07-01,-5.2341726448
"308",2015-08-01,16.292637454
"309",2015-09-01,-2.7501449163
"310",2015-10-01,10.7971971535
"311",2015-11-01,-4.0133872661
"312",2015-12-01,7.3204876035
"313",2016-01-01,-9.3990548229
"314",2016-02-01,-4.1016049339
"315",2016-03-01,-2.011441456
"316",2016-04-01,-6.1440899311
"317",2016-05-01,2.3547044755
"318",2016-06-01,-18.0413961911
"319",2016-07-01,1.1188458522
"320",2016-08-01,5.1151749955
"321",2016-09-01,2.291801224
"322",2016-10-01,7.4013772263
"323",2016-11-01,-20.2173096756
"324",2016-12-01,-2.5386535349
"325",2017-01-01,1.3313688462
"326",2017-02-01,0.4512320953
"327",2017-03-01,0.238942401900001
"328",2017-04-01,3.8718875677
"329",2017-05-01,-3.9082621347
"330",2017-06-01,-2.9646933445
"331",2017-07-01,19.0955277541
"332",2017-08-01,5.9435066121
"333",2017-09-01,3.438246308
"334",2017-10-01,6.1303161962
